,meta_log2FC,meta_SE,meta_z,meta_pvalue,meta_padj,n_datasets,n_concordant,frac_concordant,replicated
147920,3.2754629954522767,0.15692693253898035,20.87253566011467,9.515039824854922e-97,1.4629373730714444e-92,3,3,1.0,True
2274,1.7381964904183211,0.08586962366818977,20.24227446407492,4.155427691359221e-91,3.194485037732401e-87,3,3,1.0,True
3075,1.2133029216750117,0.06400775869993548,18.95556017455482,3.973010168828537e-80,2.036167711524625e-76,3,3,1.0,True
6273,3.19069058868802,0.16935230061612416,18.84055059824934,3.512923089381239e-79,1.3502798124809138e-75,3,3,1.0,True
1294,1.8233920372142551,0.10000095539223579,18.233746168347366,2.785691938954532e-74,8.566002712285186e-71,3,3,1.0,True
7373,1.9832994100265693,0.10945014889440069,18.120572973729704,2.1929933350763594e-73,5.619545421133171e-70,3,3,1.0,True
54621,-1.0498151550849748,0.05944501665683433,-17.660271863415797,8.483010667275839e-70,1.8632327001338004e-66,3,3,1.0,True
7162,1.0381190453734437,0.06087355693540108,17.05369453727,3.2812181919491936e-65,6.306091212652357e-62,3,3,1.0,True
953,0.837850845207258,0.05014125098951813,16.70981135637019,1.1118670813314112e-62,1.8994395972744942e-59,3,3,1.0,True
23287,-0.5261784334658078,0.031734352874198866,-16.580720443605113,9.607016122475141e-62,1.477078728830553e-58,4,4,1.0,True
1308,2.794715108739087,0.17206239699609974,16.242451328877145,2.526242558160528e-59,3.530998121065283e-56,3,3,1.0,True
1734,2.23843455430974,0.14268567796891224,15.687871313878054,1.8309316413086828e-55,2.3458811654267497e-52,3,3,1.0,True
100423062,2.436520870267236,0.1555174456736386,15.66718678867965,2.5355638185476746e-55,2.998791823859269e-52,3,3,1.0,True
2281,-0.8254228823017331,0.053397554750292904,-15.458065189721172,6.656814321757821e-54,7.310608585501893e-51,3,3,1.0,True
84627,1.3658713098664255,0.08873213591042531,15.393197693846414,1.8182028867127523e-53,1.863657958880571e-50,3,3,1.0,True
3899,-0.8722548966733973,0.056901699602882556,-15.329153659044836,4.883073645035142e-53,4.692328580775957e-50,4,4,1.0,True
122060,-0.614327184932588,0.04115786409558349,-14.926119186017463,2.228646412361006e-50,2.015614034708851e-47,4,4,1.0,True
9721,-1.4023020119195333,0.09460521826644042,-14.8226708591293,1.0454358940603824e-49,8.929764928432434e-47,3,3,1.0,True
100506658,-0.9642120160894674,0.06507277301128264,-14.817441634495697,1.1300716419900466e-49,9.144658681893139e-47,3,3,1.0,True
7082,-0.6263559253454458,0.04277477107096093,-14.643115782112702,1.4907693565679526e-48,1.1460289428616136e-45,3,3,1.0,True
3852,3.0997245897000916,0.21219160961640218,14.608139291198846,2.4923226359534758e-48,1.824736215608795e-45,3,3,1.0,True
4311,-1.32607390777371,0.09091542684461407,-14.585796424188137,3.4586204054415136e-48,2.4171040333483305e-45,4,4,1.0,True
408,-0.56700732054311,0.03933874155487587,-14.413458543206291,4.2584068205632155e-47,2.846652385485193e-44,4,3,0.75,True
221687,-0.969861777143122,0.06868824711138433,-14.119763102563992,2.869543270889751e-45,1.8383011579137464e-42,4,4,1.0,True
9337,-0.37618939555460357,0.02670712006819867,-14.085734238434366,4.648026151231332e-45,2.858536083007269e-42,4,4,1.0,True
9625,-0.8759488504370002,0.062447821546597934,-14.026892031507874,1.0672730891824671e-44,6.311278363915552e-42,3,3,1.0,True
10381,1.7274504377334734,0.12333039511892455,14.006688586927288,1.4186722358036724e-44,8.077928584837704e-42,3,3,1.0,True
81567,0.9728408153975139,0.06946823376209399,14.004110407199583,1.4711024414663785e-44,8.077928584837704e-42,3,3,1.0,True
