entrez_id,meta_log2FC,meta_SE,meta_z,meta_pvalue,meta_padj,n_datasets,n_concordant,frac_concordant,replicated
1,0.03671068417469498,0.01776690174683327,2.066240062437347,0.03880581776368128,0.07110098772978012,3,3,1.0,True
2,0.33098172028785366,0.05464627638806988,6.05680280825341,1.3885362977315332e-09,6.076014483130581e-09,3,3,1.0,True
3,-0.006297102255060861,0.009362682653850034,-0.6725745694767755,0.5012179848944287,0.612630066531527,1,1,1.0,False
9,-0.5133630450116946,0.07611296826680863,-6.744751343977766,1.5328931573005753e-11,7.669432633509115e-11,3,3,1.0,True
10,-1.166187785206886,0.09250532061876389,-12.60671037521203,1.9391959614936582e-36,3.8205562539603127e-35,3,3,1.0,True
12,2.7943785889596073,0.11963582065558141,23.35737385046508,1.159774801002593e-120,6.822237198469062e-118,3,3,1.0,True
13,0.15256098564065057,0.06015344018939343,2.536197184405605,0.011206361426455905,0.023122128395024186,3,2,0.6666666666666666,True
14,-0.3007701646474907,0.04662773708705809,-6.450455961135885,1.1151413446541465e-10,5.257763752104073e-10,3,3,1.0,True
15,0.006235044431800803,0.009483459729719779,0.6574651666691939,0.5108818615899531,0.62179650585947,3,1,0.3333333333333333,False
16,0.5713398389437881,0.04326347685636542,13.206054632193208,8.095784517153711e-40,1.8780699744676019e-38,3,3,1.0,True
18,-1.1458353255373137,0.0817901216363814,-14.009458631586506,1.3644107073306078e-44,3.993972859633886e-43,3,3,1.0,True
19,-0.08274234201441226,0.045749319497930936,-1.8086026835471154,0.07051275129289118,0.12055138284147598,3,2,0.6666666666666666,True
20,-0.2854719863543839,0.046379587511722435,-6.155121286540785,7.502006023667513e-10,3.3419502492017596e-09,3,3,1.0,True
21,0.011991972701807725,0.01512325656710924,0.7929491011802593,0.4278074781761154,0.5434983059504863,3,3,1.0,True
22,-0.3834356589881075,0.045547645832349055,-8.418341979724934,3.8184976989413e-17,2.7070245093269366e-16,3,3,1.0,True
23,0.020083011187179527,0.02572539700166638,0.7806686592972165,0.43499739823072503,0.550537663064817,3,2,0.6666666666666666,True
24,8.682530256235146e-05,0.0058632082569625155,0.014808497115763724,0.9881849606073393,0.9914756999985755,3,2,0.6666666666666666,True
25,-0.30354625847271355,0.04396901572821927,-6.9036400621062315,5.068663226652482e-12,2.6187033391400296e-11,3,3,1.0,True
26,-0.6736391836173661,0.07928142556699191,-8.496809672628157,1.9487257327547266e-17,1.4024240592321084e-16,3,3,1.0,True
27,0.38853857713888856,0.05067027281919698,7.6679787875877885,1.7472777377195485e-14,1.0526272564764488e-13,3,3,1.0,True
28,-0.6075134121732004,0.0953966249738767,-6.368290412156208,1.9114673839879287e-10,8.853527032022078e-10,3,3,1.0,True
29,-0.5288151688196017,0.04521969858873959,-11.694354127147697,1.3621958953203697e-31,2.087742666860115e-30,3,3,1.0,True
30,-0.6614196687461531,0.05926189530026466,-11.160960434945778,6.330395309210712e-29,8.513813092507341e-28,3,3,1.0,True
31,0.17823143601703892,0.052943390132593256,3.3664530278599454,0.0007614154847716645,0.0019082502502301424,3,3,1.0,True
32,-0.8100032003164079,0.06486116609175822,-12.488261453247807,8.652371552726288e-36,1.6558132577974879e-34,3,3,1.0,True
33,-0.018915223266128173,0.012980977338295327,-1.4571493943161091,0.14507514616221848,0.22523889656782314,3,3,1.0,True
34,-1.0838675154362163,0.08125137289376254,-13.339682479622716,1.360377180238038e-40,3.269404534529277e-39,3,3,1.0,True
35,-1.2922124670442146,0.0918602611307562,-14.067154296511818,6.0453482735957e-45,1.8081885526326316e-43,3,3,1.0,True
36,-0.8233366644162922,0.06485911050193831,-12.694233054455578,6.3650409918602396e-37,1.2847606433406788e-35,3,3,1.0,True
37,-0.35528263986194236,0.060369394337264876,-5.88514501035226,3.977051377013114e-09,1.681875823548066e-08,3,3,1.0,True
38,-1.3689992571587128,0.06660521063600125,-20.553936307480807,7.096862855669664e-94,1.718971506982105e-91,3,3,1.0,True
39,-0.31175588073839866,0.0791367358192346,-3.939458426115988,8.16657517190549e-05,0.0002323392517239717,3,3,1.0,True
40,-0.055406911202436175,0.019946932797236135,-2.7777158406085074,0.005474246874247592,0.011976157201377935,3,3,1.0,True
41,-0.002221967278628134,0.005187266134400535,-0.4283503527788275,0.6683960646156966,0.7560731272558674,3,2,0.6666666666666666,True
