id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,n_snps
hmgcr_combined,IPF_FinnGen_R10,IPF_FinnGen_R10,HMGCR→IPF (statin proxy),Inverse variance weighted,4,-0.166869082191255,0.468000289321503,0.721422988420821,4
hmgcr_combined,IPF_FinnGen_R10,IPF_FinnGen_R10,HMGCR→IPF (statin proxy),MR Egger,4,-1.5317411958588,1.55658043904853,0.428840981710784,4
hmgcr_combined,IPF_FinnGen_R10,IPF_FinnGen_R10,HMGCR→IPF (statin proxy),Weighted median,4,-0.401119347775416,0.436748305793751,0.358397863158738,4
hmgcr_combined,IPF_FinnGen_R10,IPF_FinnGen_R10,HMGCR→IPF (statin proxy),Weighted mode,4,-0.575706901140927,1.44487783273479,0.716964650857312,4
