entrez,log2FoldChange,pvalue,padj
2,-0.017836385990747772,0.9159197313720676,0.9631273256246967
9,0.491774594114899,0.0013948528118850744,0.026210814712620715
10,-0.5168013800714037,0.17588648392530537,0.41214022047655785
12,-1.1721158369968432,0.014523942367623407,0.09658463614624158
13,0.009651080649669908,0.9743698917459185,0.9896929664406191
14,-0.4311821373467968,0.00011294561397660747,0.006783738857791763
15,0.29796317485053114,0.23552636373175134,0.4826849961404042
16,-0.0030139175571335386,0.9774711357303635,0.9907084302845732
18,0.2932332176870478,0.238857138317541,0.48612310867350766
19,-0.16990999446909427,0.4390765146467859,0.6734541558283542
20,-0.9389931599830001,0.027175053364695487,0.14095995977869177
21,-0.5915726111535617,0.06406369553015591,0.23264852143064932
22,0.07330048624232788,0.5757353515816004,0.773915159813217
23,0.09094214183650706,0.4889842183128513,0.7129046935792506
24,-0.9871915100109412,0.013425774608618418,0.09200129184466976
25,-0.30987753055946854,0.020805520951989717,0.11976476966499272
26,0.36817688339289223,0.403430060371789,0.6446953553689454
27,-0.24212578139491647,0.2219751563322337,0.4680269712539125
28,-0.5399342583679054,0.03548725102386462,0.16619638809684223
29,-0.3686400090680406,0.17045609039723636,0.40520800037927385
30,0.07799996879785809,0.6074824251843901,0.7932335704883542
31,-0.6712766649204394,0.07432598576706191,0.25217096574797104
32,-1.761847318957419,0.007599651173899504,0.06612379035845475
33,-1.0433462286192023,0.15059647803054016,0.37751617954263994
34,0.05678591814375267,0.8348061391984346,0.9241669722464713
35,-0.2976105991898166,0.1529514550504605,0.38067879737399885
36,-0.478281049135175,0.23589333985907465,0.48320310890372303
37,-0.34929286281932725,0.04919375062163856,0.20043597460266446
38,0.0968409827581258,0.5884545368973629,0.7817998673764175
39,0.08682870286602729,0.5233195526293339,0.7377622782112014
40,-0.2975428293090143,0.3100009399329293,0.5606485629839675
41,-0.6665994524003711,0.10685707521342043,0.31213532912892766
43,0.7065359083272735,0.021032952762195307,0.1204825929048838
47,-0.16542221142836055,0.3308203373694105,0.5805317900129372
48,-0.15836640587951045,0.42748303787123704,0.6642796488276335
49,-0.6573087576133494,0.04398063826760624,0.1880676573627077
50,1.1045254886320803,0.016276306997881972,0.1036219616927517
51,-1.3632002793024611,0.011025974242244586,0.08206138411487512
52,0.27336235014655674,0.5324620464863504,0.7439173548045883
53,0.4900288238029127,0.014103718915238862,0.09487800186336791
54,0.08981161449180952,0.7914510342666105,0.8998828143975345
55,-0.0979022874105997,0.7829734712698181,0.895222836487524
56,-0.22618022264929838,0.25322165459776164,0.5027655822330859
58,-0.43222511553068177,0.2827653025778123,0.5348379711894924
59,-0.31978016393043074,0.3318102567713277,0.5809482165188572
60,-0.47032446630866964,6.079846317485365e-05,0.004837308731506963
69,-0.17992073457628788,0.42713957669659325,0.6641975706580732
70,-0.1104474564292639,0.799894185036071,0.9044982302425033
71,-0.4127825954353188,5.55081979410097e-05,0.0046402192822642555
72,0.015197764572311812,0.9663076441764926,0.9863145634732621
81,-0.17388710571004218,0.3881528283524927,0.631547736913841
86,-0.3653715394237116,0.13027490438335798,0.34740494188300214
87,-0.14822841847979795,0.55626615607882,0.7595724715022388
88,0.805521329895651,0.0872339107581276,0.2765447764153304
