probe,log2FoldChange,pvalue,padj
1007_s_at,0.019472809690178394,0.9027911596473891,0.957343881937131
1053_at,0.023311083490688667,0.9082407816416735,0.959899494542911
117_at,-0.07620597948369223,0.7845208431141059,0.8960724766575232
121_at,0.09899551577075272,0.4948363458097993,0.7171304184190148
1255_g_at,0.2622181804654282,0.3802321411220027,0.6248730998420807
1294_at,0.28832733563244695,0.17877153276937935,0.4161688151679957
1316_at,0.03850700562557474,0.813359953463002,0.9119502789079237
1320_at,-0.5820111925422555,0.2480128836457502,0.4968636348736968
1405_i_at,2.763790922336911,0.0009403327152772225,0.021137865692260328
1431_at,-0.1463734512896382,0.5288213925131435,0.7412566242775778
1438_at,0.6565110204104627,0.06623165394886457,0.23700657538823658
1487_at,-0.1250719789788164,0.3388489032084391,0.5878674953436349
1494_f_at,-0.2673908257921793,0.23223184958869836,0.47985076250750003
1598_g_at,0.4387923634620581,0.09430033914796938,0.2902171907607755
160020_at,-0.6655027678130114,0.008977390770806865,0.07266371178564815
1729_at,0.37523469811983645,0.05532685177044766,0.2141377429998139
1773_at,-0.5327829228319931,0.004273299929250481,0.048286989007854185
177_at,-0.02616040416052723,0.9069849430705672,0.959279376948147
179_at,-0.1538598743311379,0.2698436068992659,0.5209604134930118
1861_at,-0.0718571120059579,0.5743593217223281,0.7730866062179786
200000_s_at,0.02954563002461086,0.782808058163706,0.8950796367026816
200001_at,-0.14553672580896304,0.19980032582210341,0.44370646405161757
200002_at,-0.0914483687926424,0.4794173158804992,0.7057901454335993
200003_s_at,-0.11380678105042996,0.3198871106594588,0.570480600888604
200004_at,-0.10197945267248798,0.12224467388177516,0.33558926550543255
200005_at,-0.10634847991173402,0.291999091635395,0.5429038619820272
200006_at,0.18075425206593643,0.06618056926526332,0.23698536959878178
200007_at,-0.2653951289141787,0.004607529741147968,0.05025432463142446
200008_s_at,0.16192787527160313,0.16257325683051904,0.39466389388326134
200009_at,0.01867413587991784,0.7634457738798349,0.8861485417109816
200010_at,-0.2153017809228821,0.017086830164907727,0.10662162883355891
200011_s_at,0.1946806539001944,0.040519142104093325,0.17950060507067825
200012_x_at,-0.3741088070507459,0.0007931046361035668,0.019126353470017076
200013_at,-0.22339674470590154,0.07286497636493793,0.24968922265240379
200014_s_at,-0.010457899601094667,0.9494372655783593,0.97932280650292
200015_s_at,0.290629983216796,0.01845395601368393,0.1116261330928249
200016_x_at,-0.3713526688212241,6.081543808992926e-05,0.004837308731506961
200017_at,0.035082554078240236,0.82663932279725,0.9194733901061988
200018_at,-0.4259717250460415,1.3965580176625678e-06,0.0007237093559901162
200019_s_at,-0.029396936175178467,0.7736913916839558,0.890269627552494
200020_at,0.25050380281278173,0.00442674348970178,0.04905078328245886
200021_at,-0.20990463559970252,0.061763480461996555,0.22816240635521706
200022_at,0.012252438629623441,0.9333642443938777,0.9722398774228111
200023_s_at,-0.08407807837467196,0.4740846778673612,0.7017889375485558
200024_at,-0.6565882440203819,0.00024075700219994877,0.009774583785413455
200025_s_at,-0.31944221934728034,0.00036492760620045986,0.012100717037150072
200026_at,-0.46356992087070736,5.1816112375343704e-05,0.004586412483188233
200027_at,0.22917189463738197,0.0250964994701905,0.13459092603953188
200028_s_at,0.19659174223703246,0.07441950546974634,0.2523649125524817
200029_at,-0.4287287099918764,1.5277787856430303e-05,0.0024490078459902544
200030_s_at,-0.2422400643634166,0.00812308418282928,0.0686167530190846
200031_s_at,-0.29660555978842496,0.001462261762380619,0.026995508575913284
200032_s_at,-0.4933083315776212,7.665745180785328e-06,0.001817189360249356
200033_at,-0.2928073574095933,0.036855765567266656,0.16971626867852924
200034_s_at,-0.2681310915081454,0.007730225475240897,0.0666096729562231
200035_at,0.10549042899545036,0.4539890428465915,0.6852891099952986
200036_s_at,-0.1482024421178707,0.24742747335405194,0.4962580007874293
200037_s_at,-0.16639136111586517,0.16164934876157952,0.3933148431035962
200038_s_at,-0.3988990755042039,3.404876888900172e-05,0.003578814703554836
200039_s_at,0.22067040583873876,0.01718762456225385,0.10704075967599289
200040_at,0.20979792338673597,0.052095086778082576,0.20744010340886598
200041_s_at,-0.588547604300313,3.881304819460607e-05,0.003870268430750886
200042_at,0.16800434779033147,0.07265361707721103,0.24921904716020638
200043_at,-0.009369233074737693,0.9452936720986883,0.977492175756419
200044_at,0.058748286856701526,0.5996827614882352,0.7885427768186701
200045_at,0.09094214183650706,0.4889842183128515,0.7129046935792508
200046_at,0.057891419417533285,0.4260866159850878,0.6635437086644199
200047_s_at,0.05130399279044795,0.794236319299756,0.9016664201022248
200048_s_at,0.38963989889699846,0.0017850220125797305,0.029702986375052042
200049_at,0.3294120489025616,0.008040357194800033,0.06818775676861182
200050_at,0.03868632868899269,0.8138444743017916,0.9122573503029114
200051_at,-0.06788213999240433,0.6449390743448288,0.8184719934053515
200052_s_at,0.30155660729309197,0.10810469723676042,0.3140057796581057
200053_at,0.20902305070114835,0.0810097621770708,0.2654228099678972
200054_at,-0.11689612696171992,0.5936710315833056,0.7847177361947324
200055_at,0.15708581388416754,0.15515780282861777,0.38415348004778777
200056_s_at,0.3373397359887065,0.15567191609470624,0.3850116557106317
200057_s_at,-0.0719855196885959,0.20613561091745408,0.4505487896434331
200058_s_at,0.06574168110219425,0.5179776072513241,0.7340431838197186
200059_s_at,-0.1967052913616314,0.0029780281910063585,0.03945897712284317
200060_s_at,0.005200575751503678,0.9696340321997265,0.987719092091726
200061_s_at,-0.36535413377819737,0.00024282006512038677,0.009783436926928017
