entrez_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,dataset
64168,64.29393063316489,-2.673158551339518,0.2410431973073061,-11.089956411138647,1.403561391241901e-28,1.057232617952962e-24,GSE213001
1050,431.3676457928475,-1.329839258597988,0.119423350392766,-11.135504524235335,8.426648715697846e-29,1.057232617952962e-24,GSE213001
25798,1367.4710634196465,-0.7161458596130799,0.0676187966904623,-10.59092877519502,3.2831794852644897e-26,1.6487032981836517e-22,GSE213001
4900,364.0541392294992,-1.3933294972866894,0.1321966259262175,-10.539826470793164,5.660324457783171e-26,2.1318196989125873e-22,GSE213001
4778,77.49979683464429,-1.892877860370644,0.1830543367761027,-10.340524533356778,4.62001769024307e-25,1.3920113300702373e-21,GSE213001
6809,966.9853539569024,-0.7157989437062653,0.0701977043758792,-10.196899600497792,2.0470298031621223e-24,5.139750664106229e-21,GSE213001
57761,185.813482033439,-1.3097355151386878,0.1297992177071486,-10.09047310357214,6.087540695869167e-24,1.3101257226181287e-20,GSE213001
55118,474.4649287588591,-2.2408724602353436,0.2227684671138187,-10.059199532447373,8.367591264533206e-24,1.575722030002409e-20,GSE213001
27346,243.1205007956244,-1.372437426504431,0.1366485571527711,-10.043555929903205,9.807356784174327e-24,1.6416425550398468e-20,GSE213001
353189,185.4184526840472,-2.10789546266189,0.2112480146915482,-9.978297148684277,1.8969423597882393e-23,2.597948786382711e-20,GSE213001
1437,11.7479925972824,-2.708512227075188,0.2713782771346603,-9.980578606633278,1.853825604267147e-23,2.597948786382711e-20,GSE213001
64399,374.4618951902853,-2.203343024755246,0.2211862528464779,-9.961482670826534,2.2468651572372306e-23,2.8207519661482404e-20,GSE213001
58526,776.2106209981649,-0.8496205875234766,0.0856134283217246,-9.92391735944398,3.2763891662913405e-23,3.525628770727075e-20,GSE213001
6283,282.7528775762618,-2.629357250412805,0.264869503492528,-9.926991275864188,3.176970992920397e-23,3.525628770727075e-20,GSE213001
6279,2279.943732561262,-2.1209558965868,0.2155447189049839,-9.83998080473387,7.572528398060392e-23,7.605342687785321e-20,GSE213001
51181,484.35188194218665,-1.119289347349986,0.1148897257494677,-9.742292794664206,1.990125690040953e-22,1.8738277200291848e-19,GSE213001
6579,25.55922361054265,-4.426136442958447,0.4547513226079451,-9.73309196238304,2.1786786886189466e-22,1.930693790826143e-19,GSE213001
8630,287.76555442601864,-1.8504508979221823,0.1907343429503645,-9.701718470300504,2.96462661332038e-22,2.48122777387064e-19,GSE213001
65987,95.14242485176013,-1.3045542100600116,0.1349573885218832,-9.666415631986531,4.1878928575621414e-22,3.1421365058063473e-19,GSE213001
64116,2390.189506733622,-1.7629869220873684,0.1824693954110128,-9.661822565456715,4.380011060201347e-22,3.1421365058063473e-19,GSE213001
6036,64.65858877471166,-1.7627386169448254,0.1822663522544546,-9.67122343285796,3.9957240922409582e-22,3.1421365058063473e-19,GSE213001
6924,1018.1153335022954,-0.4065362927498775,0.0421050147750089,-9.655293910291498,4.668187216145701e-22,3.196647291419772e-19,GSE213001
25893,62.32045150247533,-2.0090222035720133,0.2082000844697422,-9.649478330850464,4.940641842330176e-22,3.236120406726265e-19,GSE213001
10562,27.135393746367384,-3.694567366416887,0.3859732257544259,-9.572081999199453,1.0477413804751505e-21,6.576759957024226e-19,GSE213001
55902,1106.3526355597353,-0.9434791903688912,0.0991346843435402,-9.517145251599018,1.7800165683035766e-21,1.0313826769805146e-18,GSE213001
39,369.7084362921634,-0.9482717550282282,0.0996217360295528,-9.518723451545984,1.753193757871452e-21,1.0313826769805146e-18,GSE213001
2330,512.4030194992393,-1.7592401493819256,0.1850732757081392,-9.505641171858056,1.9881938879568784e-21,1.109338552669273e-18,GSE213001
2194,3036.825872647981,-1.495915332520325,0.1574902424224113,-9.4984635842268,2.1300979063650498e-21,1.146068748549624e-18,GSE213001
128488,7.804867163120287,-3.3550610404693724,0.3572356323161593,-9.39173121873825,5.902203301593227e-21,3.066092853051792e-18,GSE213001
54621,435.3353891974782,-1.025830826735268,0.1094907385915105,-9.369110483056026,7.314636160785416e-21,3.673166458741076e-18,GSE213001
11027,198.12273217293023,-1.211795192721944,0.1296239313796651,-9.34854528653839,8.886144898930724e-21,4.3183797710448826e-18,GSE213001
6319,4580.196208377005,-1.717200370558465,0.1845385914440946,-9.305372698039072,1.3352322028610716e-20,6.2860228550318895e-18,GSE213001
131540,11.78185234266391,-2.1486462216190967,0.2319139487791393,-9.264842554448226,1.953653459425471e-20,8.918724050377188e-18,GSE213001
85462,346.4266514033843,-1.235564588667795,0.1336459307638658,-9.245059551052622,2.3510975260981468e-20,1.0417436538431936e-17,GSE213001
6091,1074.9663641552638,0.8713466379668409,0.0944269839454364,9.22772921001415,2.7642982789296947e-20,1.1898329592021673e-17,GSE213001
645,691.5354403841746,-0.7486906348938477,0.0813215052971268,-9.206551602289386,3.367700870144755e-20,1.4092892669091868e-17,GSE213001
221416,109.175831637525,-2.3834281850847616,0.2591757020794717,-9.196186856875668,3.7087741360611523e-20,1.5100724962097637e-17,GSE213001
151126,319.27095920892293,-1.6894772914424343,0.1839963688854558,-9.182123004254462,4.226746432983107e-20,1.675682500339224e-17,GSE213001
