"","gene_id","log2FoldChange","stat","pvalue","padj","dataset"
"645","645",-0.777705,-8.61607845199814,2.34408084787703e-11,5.6533714566446e-09,"GSE53845"
"5827","5827",-0.788037500000001,-8.59675973069152,2.50591764733282e-11,5.97340834538637e-09,"GSE53845"
"10810","10810",-0.912145000000001,-8.58532682291666,2.60695046099576e-11,6.17832190178186e-09,"GSE53845"
"149708","149708",-1.0203975,-8.52093570587582,3.25769467846742e-11,7.5889478305207e-09,"GSE53845"
"55799","55799",-0.734425,-8.50654214173927,3.4242524892665e-11,7.88732314943408e-09,"GSE53845"
"9076","9076",2.335575,8.50238289829284,3.47396111311655e-11,7.91291142432104e-09,"GSE53845"
"7139","7139",-1.0697775,-8.50387675107577,3.45602441720211e-11,7.91291142432104e-09,"GSE53845"
"23266","23266",-1.3868025,-8.49875308083055,3.51793614956479e-11,7.96880564266058e-09,"GSE53845"
"3459","3459",-1.1491075,-8.49295134696087,3.58939147525527e-11,8.08599178491573e-09,"GSE53845"
"150000","150000",-0.6556875,-8.48438862304448,3.69753235603069e-11,8.25758612255982e-09,"GSE53845"
"7779","7779",0.984235,8.4837410101116,3.70584352817319e-11,8.25758612255982e-09,"GSE53845"
"11200","11200",0.755315000000001,8.45474393338812,4.09792373385057e-11,8.93696133446135e-09,"GSE53845"
"387758","387758",-1.1124025,-8.45628238497179,4.07610880885933e-11,8.93696133446135e-09,"GSE53845"
"10682","10682",-0.88931,-8.43287306685756,4.42107797474928e-11,9.59069825210161e-09,"GSE53845"
"92312","92312",1.41717,8.41872501910227,4.6436786726007e-11,1.0020569767191e-08,"GSE53845"
"185","185",-0.6883025,-8.41387600639775,4.72254148170959e-11,1.00845937890674e-08,"GSE53845"
"153571","153571",-0.7665325,-8.40881324969368,4.80632057112063e-11,1.0210318311707e-08,"GSE53845"
"10529","10529",-1.066115,-8.39916972372182,4.97006712106533e-11,1.05037501012206e-08,"GSE53845"
"3909","3909",-1.316715,-8.39668341208388,5.01318815739519e-11,1.05322256000408e-08,"GSE53845"
"753","753",1.0585125,8.38759313187561,5.17407679989937e-11,1.0713997413933e-08,"GSE53845"
"125488","125488",0.959647500000001,8.38813751930064,5.16429693492123e-11,1.0713997413933e-08,"GSE53845"
"54959","54959",-1.4584975,-8.36995080887865,5.50132264306689e-11,1.12777114182871e-08,"GSE53845"
