entrez_id,gene_id,log2FoldChange,stat,pvalue,padj,dataset
57282,57282,-0.406536423809524,-5.70050033536518,9.22630485716001e-08,0.0005806584313192,GSE38958
7976,7976,-0.303809592063492,-5.66892597796963,1.06601511165642e-07,0.0005806584313192,GSE38958
8445,8445,-0.350544126984127,-5.76150264850244,6.97141012659454e-08,0.0005806584313192,GSE38958
7552,7552,-0.176520893650794,-5.70802080546008,8.91372151114579e-08,0.0005806584313192,GSE38958
81793,81793,-0.734312584126984,-5.5693077727148,1.67693346183913e-07,0.000730740525331,GSE38958
92610,92610,-0.263833811111111,-5.37379337580565,4.02990664795506e-07,0.0012543372292235,GSE38958
959,959,-0.506144353968254,-5.40785280886139,3.46326953751134e-07,0.0012543372292235,GSE38958
149233,149233,-0.292765249206349,-5.16996128847591,9.87048771967581e-07,0.0019281722623357,GSE38958
151888,151888,-0.684728033333333,-5.11235757599485,1.26693870846784e-06,0.0019281722623357,GSE38958
285605,285605,-0.315557988888889,-5.08269624397355,1.43983412666047e-06,0.0019281722623357,GSE38958
3101,3101,0.321085466666666,5.07249487225734,1.50444870844995e-06,0.0019281722623357,GSE38958
54813,54813,-0.217981644444444,-5.10944512882013,1.28297702972665e-06,0.0019281722623357,GSE38958
161436,161436,-0.25341762063492,-5.09995256789749,1.33663577618336e-06,0.0019281722623357,GSE38958
84307,84307,-0.317588982539683,-5.13101518773186,1.16873233632649e-06,0.0019281722623357,GSE38958
5657,5657,0.265644503174602,5.09255831607418,1.37994206888885e-06,0.0019281722623357,GSE38958
27334,27334,-0.571134014285714,-5.19612569234683,8.80781711280284e-07,0.0019281722623357,GSE38958
57447,57447,-0.246229480952381,-5.05668892020414,1.61017529957387e-06,0.0019288523926517,GSE38958
7163,7163,-0.396476549206349,-5.02239985833535,1.86499933941264e-06,0.0019349812193867,GSE38958
55110,55110,-0.297004307936508,-5.00189079244963,2.03574083809364e-06,0.0020161236991083,GSE38958
8339,8339,-0.469448542857143,-4.97779551293483,2.25581454936028e-06,0.002069033662252,GSE38958
11043,11043,-0.280352355555556,-4.97538229162398,2.27908976932481e-06,0.002069033662252,GSE38958
5274,5274,-0.255837106349206,-4.95298486348242,2.50655376527181e-06,0.0021004920552977,GSE38958
11126,11126,-0.469184706349206,-4.93273224158726,2.73113076611302e-06,0.0021026600040052,GSE38958
11168,11168,-0.329166371428571,-4.92695867155963,2.79865706426254e-06,0.0021026600040052,GSE38958
3679,3679,0.156676844444445,4.94192532058999,2.62686645019645e-06,0.0021026600040052,GSE38958
114884,114884,-0.463460342857142,-4.89670099786749,3.17994613011676e-06,0.0022633634282788,GSE38958
2841,2841,-0.304458611111111,-4.89370644422276,3.22031697616329e-06,0.0022633634282788,GSE38958
6935,6935,-0.347551777777778,-4.88221188480189,3.37995420308783e-06,0.0023013263180274,GSE38958
2530,2530,-0.315201725396826,-4.87474088773649,3.48780550042456e-06,0.0023027971588863,GSE38958
79608,79608,-0.274635671428571,-4.84609352549083,3.93319491906525e-06,0.0023255762219832,GSE38958
84101,84101,-0.255854176190476,-4.8455416598757,3.94229514367074e-06,0.0023255762219832,GSE38958
122060,122060,-0.385626553968254,-4.85467917789127,3.79421739014762e-06,0.0023255762219832,GSE38958
90121,90121,-0.2296579,-4.84329925040588,3.9794830296164e-06,0.0023255762219832,GSE38958
81606,81606,-0.375996534920634,-4.82072048705832,4.37341409138826e-06,0.0024432806723889,GSE38958
57820,57820,-0.288423015873016,-4.78347273924183,5.10737442488844e-06,0.0027819868492367,GSE38958
1235,1235,-0.413834328571428,-4.76573003391981,5.49771553661662e-06,0.0027856796770186,GSE38958
26960,26960,-0.228754673015873,-4.77313048309519,5.33150997446528e-06,0.0027856796770186,GSE38958
1880,1880,-0.422571053968253,-4.76685038287873,5.47223493150671e-06,0.0027856796770186,GSE38958
55103,55103,-0.690449595238095,-4.75288560648237,5.79818700883167e-06,0.0028711567851914,GSE38958
57669,57669,-0.195344496825397,-4.70106159628992,7.18046567022786e-06,0.0031047024421266,GSE38958
55024,55024,-0.708290655555556,-4.69813804393997,7.26729504995687e-06,0.0031047024421266,GSE38958
5324,5324,-0.309330358730159,-4.70495163274372,7.06648854773839e-06,0.0031047024421266,GSE38958
10171,10171,-0.201857647619048,-4.72321582189605,6.55437080535505e-06,0.0031047024421266,GSE38958
4285,4285,-0.200035488888889,-4.70839596240508,6.96703495243689e-06,0.0031047024421266,GSE38958
6990,6990,-0.383176341269841,-4.71389897616665,6.81094545204424e-06,0.0031047024421266,GSE38958
375444,375444,-0.148602796825397,-4.68079123906569,7.80379812107738e-06,0.0031486880270747,GSE38958
