entrez_id,rwr_up,rwr_down,rwr_net,in_consensus,consensus_lfc
3852,0.00470088389221894,1.5657772908281203e-05,0.004685226119310658,True,3.0997245897000916
6273,0.004666302838397986,2.2267651348024733e-05,0.004644035187049962,True,3.19069058868802
6318,0.004246412054889188,4.857774096113908e-07,0.004245926277479576,True,2.8639095037758917
92747,0.004231026484588134,4.885548746083007e-08,0.004230977629100673,True,2.840923763600233
54578,0.004193864626579906,3.311927790667193e-05,0.004160745348673234,True,2.856972251813286
1308,0.004108159281105438,4.6165697834001593e-07,0.004107697624127098,True,2.794715108739087
727897,0.0040811491004563325,1.2818783514525546e-06,0.00407986722210488,True,2.6966853122228467
3963,0.003918375035240699,1.579006436510164e-07,0.003918217134597048,True,2.679469251606357
100423062,0.003622210731293522,1.7158908151361577e-05,0.0036050518231421605,True,2.436520870267236
1734,0.003280120103080131,8.668789728593032e-06,0.0032714513133515377,True,2.23843455430974
7373,0.0029501414679189136,5.700690820221676e-07,0.0029495713988368913,True,1.9832994100265693
4586,0.0029463132968542706,2.2011791291916706e-06,0.002944112117725079,True,1.9558872266926624
3853,0.0027646086624579886,2.2847366744984974e-07,0.0027643801887905386,True,1.8106942981272225
6999,0.0027267349104864473,1.0201759540441651e-05,0.002716533150946006,True,1.862385930729012
1294,0.002685251132204889,1.654279971186496e-06,0.0026835968522337023,True,1.8233920372142551
2274,0.002547912578711931,2.2101029267078755e-05,0.0025258115494448522,True,1.7381964904183211
10381,0.002534110926673499,8.453253597517596e-06,0.0025256576730759814,True,1.7274504377334734
132203,0.0024458440094010936,3.2613111693660984e-08,0.0024458113962893997,True,1.4373035942576913
6317,0.0024209157069390915,1.746170082663214e-06,0.0024191695368564283,True,1.542280015209006
126306,0.0023725821372945887,1.3508569721065724e-07,0.002372447051597378,True,1.6249992691430075
2938,0.0023051897124313804,1.723292975945383e-05,0.0022879567826719267,True,1.5586888652230937
1674,0.0022737078591831424,6.282026507436778e-06,0.0022674258326757057,True,1.3660029768949773
388633,0.002236030126633753,1.6301495673012858e-09,0.0022360284964841855,True,1.4491507974651394
400891,0.0022187465142741347,8.281201406971678e-09,0.002218738233072728,True,1.4725215248345933
