entrez_id,rwr_up,rwr_down,rwr_net,in_consensus,consensus_lfc
359948,0.03601358345368914,2.2361286756878903e-06,0.036011347325013446,True,840.072333110633
10673,0.03352908166350743,1.7043554922109214e-06,0.03352737730801522,True,783.600342178177
56990,0.02357109325191381,1.1790160149793536e-07,0.02357097535031231,True,551.214266930508
84513,0.021955635853742855,3.7340623217975346e-05,0.02191829523052488,True,513.079436153074
27248,0.02064294868966606,1.1778114345736968e-06,0.020641770878231488,True,480.01753498875
94241,0.019628573610256102,5.033671238005992e-07,0.019628070243132303,True,458.680921399261
280636,0.019302537379077476,3.642830103978712e-08,0.019302500950776437,True,446.76533176879
58515,0.019097267470036323,3.3793043210040616e-07,0.019096929539604224,True,440.305410665883
90701,0.017345327783388122,1.325092886521188e-07,0.01734519527409947,True,405.188709040161
118788,0.01580666756044908,2.1779753173267835e-06,0.015804489585131754,True,369.465110230818
81037,0.015193153206403581,1.2710282623151308e-07,0.01519302610357735,True,354.959221286562
133418,0.01457149216646764,1.3326872958066843e-06,0.014570159479171833,True,339.871467344714
91319,0.013257095552936578,4.5140958619581107e-07,0.013256644143350383,True,307.319800454055
83416,0.011338765276094539,2.489094266035442e-06,0.011336276181828503,True,264.519636899279
115548,0.010227487899515362,1.6099026103635512e-06,0.010225877996904999,True,238.984595514415
283897,0.01011104909481866,9.192413772669808e-08,0.010110957170680933,True,235.714398281904
26157,0.009580466721041729,6.767295749044113e-08,0.009580399048084238,True,215.026361134558
64333,0.009577358397744788,1.8679670201351473e-07,0.009577171601042773,True,223.63598252472
83593,0.009367163082750513,3.455188132164125e-06,0.009363707894618349,True,218.58147382219
84166,0.009069707801098198,3.01349546093689e-07,0.009069406451552105,True,211.802446632932
117289,0.008992441378891113,3.406805423689063e-08,0.008992407310836876,True,209.570630911729
168537,0.008933131662844294,1.3534603973571583e-06,0.008931778202446937,True,187.349770085851
219285,0.008600457642571408,3.7833038709398786e-08,0.0086004198095327,True,198.286100142832
91526,0.008538836978319173,1.5578534414025056e-08,0.00853882139978476,True,199.283710157582
359845,0.008533428933200369,2.8809949890126103e-07,0.008533140833701467,True,199.507989127908
114769,0.008376096381252068,1.8480965140205087e-05,0.008357615416111863,True,195.447237776089
127933,0.007623785763675025,2.9397274087594744e-08,0.007623756366400938,True,178.008305033811
54331,0.007436157358011588,9.834648207432087e-06,0.0074263227098041555,True,173.077937431241
81704,0.007323341999048781,1.0942456366601022e-05,0.00731239954268218,True,170.53131374333
57674,0.0071487412402318155,9.87051845497663e-09,0.007148731369713361,True,166.670193416454
64744,0.006894704266861569,3.114791442514251e-07,0.006894392787717318,True,161.165173194942
140775,0.006889900035581884,5.345691169156299e-06,0.006884554344412728,True,159.99696904605
92610,0.006780448918237605,3.152396746195796e-08,0.006780417394270144,True,157.811460407276
79002,0.0067231256672979165,2.964032556221259e-07,0.006722829264042295,True,157.174847777137
167153,0.006651254605858089,1.7842088432577505e-07,0.006651076184973763,True,155.032830872262
94240,0.006626104005967568,3.5967084794309237e-08,0.006626068038882774,True,152.484161614558
57222,0.006596272724150665,4.683783726509739e-08,0.0065962258863134,True,154.003856775619
170575,0.00651892022537325,1.3534603973571583e-06,0.006517566764975892,True,129.476428209946
157769,0.006303411883363376,2.8837077484685597e-09,0.006303408999655627,True,146.996278549517
51061,0.006272530444231652,1.7300230838916133e-09,0.006272528714208568,True,146.392585689984
27166,0.006251165947769071,3.1214005795524464e-05,0.0062199519419735465,True,145.146054628131
222068,0.005860208379703806,3.473735937370144e-08,0.005860173642344433,True,136.780681205092
89857,0.005599989533807058,1.1473336763742134e-07,0.005599874800439421,True,130.792114057865
151636,0.005505766740806703,5.654894898756497e-08,0.005505710191857715,True,127.991229963623
55920,0.005403301778828098,1.0263231733360219e-07,0.005403199146510764,True,126.327322373702
54464,0.005208651630724939,4.183815824861491e-05,0.005166813472476325,True,121.447739604228
257106,0.00514356575345253,2.8381712157230084e-08,0.005143537371740372,True,119.831397104018
