entrez_id,rwr_up,rwr_down,rwr_net,in_consensus,consensus_lfc
11254,0.0018221205871431707,0.0,0.0018219961874145023,True,5.343292656892281
4314,0.0017435267775124219,0.0,0.0017412627116456933,True,4.912547763085077
50506,0.0016253299769004054,0.0,0.0016162580364956184,True,4.648889961620216
1673,0.0016180287335627555,0.0,0.0016111684415981598,True,4.583657307060752
5967,0.0015275230019155708,0.0,0.0015268983245158166,True,4.151925973927182
6279,0.0014604680808542015,0.0,0.0014590374454387096,True,4.187603478498654
5968,0.001457309950751255,0.0,0.001457134124996797,True,3.869650206595571
1116,0.0014423642820959356,0.0,0.0014393356156055272,True,4.207398576448592
5068,0.0014033389759123115,0.0,0.0014031786269649306,True,3.8117979006236102
79931,0.0013895165280084908,0.0,0.0013893465204405933,True,4.076636749214451
3553,0.001414637322177877,0.0,0.0013841010323622698,True,3.327874181247527
3576,0.0013831932362659118,0.0,0.0013633765428672088,True,3.5536940771828873
6289,0.00127647151856946,0.0,0.0012741432252978886,True,3.673602550676831
3620,0.0012748443482792473,0.0,0.001263350672151739,True,3.613190207780207
2919,0.001253026435498186,0.0,0.0012495693239740018,True,3.497143502588276
405753,0.0012188494514215541,0.0,0.0012145220593798387,True,3.537501543266116
8876,0.0012140354523361508,0.0,0.0012012087212418662,True,3.469784708036068
4312,0.0012025678064223827,0.0,0.001198668400547573,True,3.3665518834702506
6947,0.0011701586984423197,0.0,0.0011694056332198074,True,3.408446250026919
5268,0.0011677745856612512,0.0,0.0011673910090998399,True,3.429764150076511
3934,0.0011315770726835293,0.0,0.0011179417824505977,True,3.065821940473408
8942,0.0011220043911325116,0.0,0.0011160067875058176,True,3.245160729237709
83998,0.0010883443295436194,0.0,0.001088003191490139,True,3.018653101190687
3557,0.001049082147443534,0.0,0.0010444530318584194,True,3.035473971331916
366,0.0011026058570052903,0.0,0.0010423521757630106,True,3.1829710459478098
4316,0.0010335529539892074,0.0,0.0010278473578911773,True,2.8732102536053468
