drug,net_trace,weighted_trace,vae_score,baseline,sig_reproducibility,n_cell_lines,reversal_rank,reversal_pct
epitiostanol,0.0329713264538763,-0.0097896687471083,0.01111247,-0.0864232209737828,0.0,7,148,8.3710407239819
BIIB-021,0.0329542429040942,0.0583137896884107,0.0055355,-0.0864232209737827,0.0,7,149,8.427601809954751
SNX-2112,0.0326448851321329,0.0383060143679656,-0.06714,-0.1231835205992509,0.0,7,150,8.484162895927602
ibrutinib,0.0326210612428271,0.0062605571638456,0.014459652,0.0,0.0,24,151,8.540723981900452
RG-4733,0.0324805751193041,-0.0075957383940477,-0.54859805,-0.0667415730337078,0.0,8,152,8.597285067873303
danusertib,0.0321687326570957,0.003133839970165,-0.21077417,0.0,0.0,7,153,8.653846153846153
paclitaxel,0.0319459661823021,0.0218308189969001,0.10282231,-0.098876404494382,0.0,7,154,8.710407239819004
R-428,0.0318685315080164,0.0708171404455582,0.08223875,-0.1318539325842696,0.0,7,155,8.766968325791854
theophylline,0.0316521935055429,-0.008422258376605,-0.1565802,0.0776779026217228,0.0,7,156,8.823529411764707
rociletinib,0.0316335646848469,0.0353299251635989,0.05141356,-0.0844569288389513,0.0,7,157,8.880090497737557
prazosin,0.0312684295151708,-0.008739107301352,-0.050625037,0.0,0.0,7,158,8.936651583710407
NSI-189,0.0309798229522865,-0.0122191127193719,-0.0229142,0.0,0.0,7,159,8.993212669683258
MK-2206,0.0309475168895245,0.0182081922690102,0.111483924,0.0,0.0,17,160,9.049773755656108
praziquantel,0.0308660781834888,0.011765388808536,-0.0037491394,0.0623970037453183,0.0,7,161,9.106334841628959
KU-60019,0.0305632950167066,0.0110751448928889,0.095895596,-0.0810674157303371,0.0,19,162,9.16289592760181
GSK-2126458,0.0303609459890394,0.0270022919133173,-0.3482534,-0.0843071161048688,0.0,15,163,9.219457013574662
LCQ-908,0.0303270026153766,0.0178213036579409,0.031149818,-0.0926029962546816,0.0,7,164,9.276018099547512
inosine,0.0302735540719678,0.0002619687367318,-0.54757327,0.0,0.0,7,165,9.332579185520363
LXR-623,0.0301991102207565,0.0054606734970698,-0.04815278,0.0,0.0,7,166,9.389140271493213
LY-2228820,0.0299795606473378,0.0094920121833314,0.022392781,0.0,0.0,7,167,9.445701357466064
AZD-7762,0.0294559589917467,0.0056389492343664,0.09933866,-0.104438202247191,0.0,27,168,9.502262443438914
sofalcone,0.028733404017093,0.0126719354636769,0.008035766,-0.0636329588014981,0.0,7,169,9.558823529411764
molindone,0.0287216897028097,-0.0182302130413649,-0.04332099,0.0,0.0,7,170,9.615384615384617
homochlorcyclizine,0.0285002931146789,0.014181952780166,-0.6322768,-0.0763295880149812,0.0,7,171,9.671945701357467
taselisib,0.0284785970112657,0.0231714297640769,-0.015891619,-0.0919288389513108,0.0,7,172,9.728506787330318
