drug,baseline_score,baseline_rank
methoxsalen,-0.06823970037453181,171
ST-1859,-0.0681835205992509,172
SU-11274,-0.06812734082397004,173
PF-02545920,-0.06784644194756555,174
lonidamine,-0.06750936329588014,175
pilaralisib,-0.06743445692883893,176
linsidomine,-0.06741573033707865,177
RG-4733,-0.06674157303370785,178
TAK-285,-0.06632958801498126,179
gallopamil,-0.06632958801498123,180
NVP-BEZ235,-0.06614232209737828,181
darifenacin,-0.06602996254681648,182
colchicine,-0.06602996254681645,183
AST-1306,-0.06565543071161051,184
chlorpropamide,-0.0656179775280899,185
mericitabine,-0.06539325842696632,186
sarsagenin,-0.06516853932584268,187
DPI-201106,-0.06501872659176029,188
pravastatin,-0.06488764044943818,189
XMD11-85H,-0.06470037453183522,190
GSK-923295,-0.06443820224719099,191
sofalcone,-0.06363295880149811,192
honokiol,-0.0630898876404494,193
lacidipine,-0.06275280898876405,194
tecastemizole,-0.06239700374531837,195
ornidazole,-0.062322097378277125,196
budipine,-0.06226591760299627,197
UK-383367,-0.06196629213483147,198
PD-184352,-0.06189138576779027,199
amikacin,-0.061779026217228465,200
XMD-1150,-0.06176029962546814,201
bisindolylmaleimide,-0.06166666666666663,202
GSK-690693,-0.061591760299625486,203
podophyllotoxin,-0.06123595505617979,204
tenidap,-0.06121722846441946,205
vicriviroc,-0.06110486891385769,206
r(-)-apomorphine,-0.05992509363295879,207
trehalose,-0.059662921348314635,208
alaproclate,-0.05906367041198503,209
lomerizine,-0.05840823970037454,210
tegobuvir,-0.05788389513108613,211
cabergoline,-0.05779026217228464,212
TG-101348,-0.057715355805243417,213
PKI-179,-0.05647940074906367,214
cilomilast,-0.05576779026217227,215
balaglitazone,-0.05340823970037453,216
valsartan,-0.050393258426966236,217
SR-2640,-0.050112359550561814,218
diclofensine,-0.04657303370786518,219
nepafenac,-0.045880149812734056,220
bitopertin,0.0,221
meisoindigo,0.0,222
busulfan,0.0,223
broxuridine,0.0,224
meglitinide,0.0,225
methylprednisolone,0.0,226
mefloquine,0.0,227
meptazinol,0.0,228
buspirone,0.0,229
merbarone,0.0,230
mephentermine,0.0,231
amitriptyline,0.0,232
amitifadine,0.0,233
mestinon,0.0,234
brequinar,0.0,235
amlexanox,0.0,236
bms-906024,0.0,237
bosutinib,0.0,238
bupivacaine,0.0,239
menadione,0.0,240
metergoline,0.0,241
metatinib,0.0,242
bortezomib,0.0,243
metformin,0.0,244
buparlisib,0.0,245
mepacrine,0.0,246
apocynin,0.0,247
metixene,0.0,248
andarine,0.0,249
atovaquone,0.0,250
nortriptyline,0.0,251
avanafil,0.0,252
naftopidil,0.0,253
azacitidine,0.0,254
naftidrofuryl,0.0,255
mycophenolic-acid,0.0,256
mycophenolate-mofetil,0.0,257
mubritinib,0.0,258
bafilomycin a1,0.0,259
mozavaptan,0.0,260
