drug,trace_score,emp_pvalue,emp_padj,significant,trace_rank,baseline_score,baseline_rank
pimavanserin,0.0514780548367177,0.085,1.0,False,77,-0.1096816479400749,40
ganetespib,0.0513367358660454,0.048,1.0,False,78,-0.1491385767790262,5
MK-2461,0.0509250996935476,0.094,1.0,False,79,-0.1119101123595506,37
licarbazepine,0.0507998184214197,0.055,1.0,False,80,0.0,424
cobimetinib,0.0507771788054846,0.05,1.0,False,81,-0.120318352059925,27
AP-26113,0.0491474192330198,0.049,1.0,False,82,-0.0814794007490636,118
ST-1859,0.0486171468209304,0.082,1.0,False,83,-0.0681835205992509,172
canertinib,0.048160065493379,0.066,1.0,False,84,-0.0859363295880149,104
SB-525334,0.0474370086007589,0.222,1.0,False,85,0.0,801
NVP-TAE226,0.0471837450986605,0.062,1.0,False,86,-0.0879026217228464,97
radicicol,0.0466000532740775,0.053,1.0,False,87,-0.0815543071161048,117
BIBX-1382,0.0461325810291385,0.096,1.0,False,88,-0.0956179775280899,69
HG-14-10-04,0.0460193706366067,0.06,1.0,False,89,0.0,622
GDC-0941,0.0458990747032635,0.062,1.0,False,90,-0.0827715355805243,113
AT-13387,0.0453550159456131,0.057,1.0,False,91,-0.1085580524344569,41
XL-888,0.0446244233056289,0.06,1.0,False,92,-0.1161423220973782,33
pravastatin,0.0445469692123049,0.083,1.0,False,93,-0.0648876404494381,189
vorinostat,0.0445219255647375,0.082,1.0,False,94,0.0,734
efatutazone,0.0445175669350021,0.066,1.0,False,95,0.0,396
PK-11195,0.0441432274863732,0.128,1.0,False,96,0.0,754
doxofylline,0.0439170376666387,0.316,1.0,False,97,0.0,342
MG-132,0.043777604194365,0.065,1.0,False,98,-0.0817228464419475,116
metronidazole,0.0433696974277885,0.099,1.0,False,99,0.0,299
tipifarnib-P2,0.0430568924797369,0.06,1.0,False,100,-0.1187453183520599,29
lorglumide,0.0428671558386069,0.06,1.0,False,101,0.0,413
belinostat,0.0425670552698215,0.086,1.0,False,102,0.0,312
famciclovir,0.0424416167783047,0.12,1.0,False,103,0.0,383
calpain inhibitor ii,0.0421623829135591,0.131,1.0,False,104,0.0,325
PFI-1,0.0412008012436505,0.178,1.0,False,105,0.0,767
SU-014813,0.0409330329023653,0.171,1.0,False,106,-0.10187265917603,55
anagrelide,0.0408527620111257,0.173,1.0,False,107,0.0,286
