drug,final_score,trace_score,genetic_support,pathway_concordance,sig_reproducibility,n_cell_lines,baseline_score,final_rank
cobimetinib,0.7259049773755656,0.0507771788054846,0.0,0.0,0.0,7,-0.120318352059925,86
ST-1859,0.7253393665158371,0.0486171468209304,0.0,0.0,0.0,7,-0.0681835205992509,87
SB-525334,0.7247737556561086,0.0474370086007589,0.0,0.0,0.0,22,0.0,88
NVP-TAE226,0.7244909502262443,0.0471837450986605,0.0,0.0,0.0,22,-0.0879026217228464,89
radicicol,0.7242081447963801,0.0466000532740775,0.0,0.0,0.0,15,-0.0815543071161048,90
HG-14-10-04,0.7236425339366516,0.0460193706366067,0.0,0.0,0.0,22,0.0,91
GDC-0941,0.7233597285067873,0.0458990747032635,0.0,0.0,0.0,17,-0.0827715355805243,92
AT-13387,0.7230769230769231,0.0453550159456131,0.0,0.0,0.0,7,-0.1085580524344569,93
XL-888,0.7227941176470588,0.0446244233056289,0.0,0.0,0.0,7,-0.1161423220973782,94
pravastatin,0.7225113122171946,0.0445469692123049,0.0,0.0,0.0,8,-0.0648876404494381,95
PK-11195,0.7216628959276018,0.0441432274863732,0.0,0.0,0.0,7,0.0,96
doxofylline,0.7213800904977375,0.0439170376666387,0.0,0.0,0.0,7,0.0,97
MG-132,0.7210972850678733,0.043777604194365,0.0,0.0,0.0,7,-0.0817228464419475,98
metronidazole,0.720814479638009,0.0433696974277885,0.0,0.0,0.0,7,0.0,99
tipifarnib-P2,0.7205316742081448,0.0430568924797369,0.0,0.0,0.0,7,-0.1187453183520599,100
lorglumide,0.7202488687782805,0.0428671558386069,0.0,0.0,0.0,7,0.0,101
belinostat,0.7199660633484163,0.0425670552698215,0.0,0.0,0.0,21,0.0,102
famciclovir,0.719683257918552,0.0424416167783047,0.0,0.0,0.0,7,0.0,103
calpain inhibitor ii,0.7194004524886878,0.0421623829135591,0.0,0.0,0.0,5,0.0,104
PFI-1,0.7191176470588235,0.0412008012436505,0.0,0.0,0.0,19,0.0,105
SU-014813,0.7188348416289593,0.0409330329023653,0.0,0.0,0.0,7,-0.10187265917603,106
