,trace_score,baseline_score,sig_reproducibility,n_cell_lines,genetic_support,pathway_concordance,n_targets
dequalinium,-0.0261642045493632,0.0,0.0,7,0.0,0.0,
iguratimod,-0.02135513566386,0.0,0.0,7,0.0,0.0,
ifosfamide,0.0023422141433236,0.0,0.0,7,0.0,0.0,
dexamethasone-acetate,-0.0672245164081958,0.0,0.0,7,0.0,0.0,
ifenprodil,0.0006300540126778,0.0,0.0,7,0.0,0.0,
doxorubicin,-0.0324276065426119,0.0,0.0,7,0.0,0.0,
idoxuridin,-0.0102894612349677,0.0,0.0,7,0.0,0.0,
idelalisib,-0.0132470674781016,0.0,0.0,24,0.0,0.0,
idasanutlin,-0.0390498426756379,0.0,0.0,7,0.0,0.0,
idalopirdine,-0.0076106695033037,0.0,0.0,7,0.0,0.0,
diazoxide,0.0233191858400539,0.0,0.0,7,0.0,0.0,
ibrutinib,0.0326210612428271,0.0,0.0,24,0.0,0.0,0.0
dicloxacillin,-0.0197624352826264,0.0,0.0,7,0.0,0.0,
dicoumarol,-0.0159022655851781,0.0,0.0,7,0.0,0.0,
hydrocortisone,-0.0229687211725543,0.0,0.0,7,0.0,0.0,
dexniguldipine,-0.0057401740351662,0.0,0.0,7,0.0,0.0,
gimeracil,-0.0286800053216373,0.0,0.0,7,0.0,0.0,
dronedarone,0.00383072381149,0.0,0.0,7,0.0,0.0,
gestrinone,-0.0256184488232741,0.0,0.0,7,0.0,0.0,
epothilone-b,0.0020253071287285,0.0,0.0,7,0.0,0.0,
fludroxycortide,-0.0074637716707759,0.0,0.0,7,0.0,0.0,
epz-5676,-0.026020588446703,0.0,0.0,5,0.0,0.0,
epz004777,-0.0279806668015789,0.0,0.0,5,0.0,0.0,
floxuridine,-0.0340296217834048,0.0,0.0,7,0.0,0.0,
flecainide,-0.0271216545951341,0.0,0.0,7,0.0,0.0,
fipronil,-0.0501610509091769,0.0,0.0,7,0.0,0.0,
fingolimod,-0.0062061104649296,0.0,0.0,7,0.0,0.0,
flumatinib,0.0281693526392441,0.0,0.0,7,0.0,0.0,0.0
finasteride,-0.0007294524222145,0.0,0.0,7,0.0,0.0,
estriol,-0.0131980920473811,0.0,0.0,7,0.0,0.0,
felbinac,0.021480868236439,0.0,0.0,7,0.0,0.0,
fdcyd,-0.0382869521450114,0.0,0.0,7,0.0,0.0,
favipiravir,-0.0381049194349326,0.0,0.0,7,0.0,0.0,
famciclovir,0.0424416167783047,0.0,0.0,7,0.0,0.0,0.0
exifone,-0.0116600976381428,0.0,0.0,5,0.0,0.0,
etravirine,-0.0186183660499699,0.0,0.0,7,0.0,0.0,
etoposide,-0.0255828110553624,0.0,0.0,9,0.0,0.0,
filgotinib,-0.0028076249799034,0.0,0.0,7,0.0,0.0,
indinavir,-0.013575741144023,0.0,0.0,7,0.0,0.0,
epirubicin,-0.05553129747044,0.0,0.0,7,0.0,0.0,
fluorometholone,-0.0127309727946374,0.0,0.0,7,0.0,0.0,
genz-644282,0.0066225558159476,0.0,0.0,7,0.0,0.0,
dutasteride,-0.0309682093520745,0.0,0.0,7,0.0,0.0,
ebselen,-0.0006829378587144,0.0,0.0,7,0.0,0.0,
gemifloxacin,0.0184861629576393,0.0,0.0,7,0.0,0.0,
gefitinib,0.0059680109539998,0.0,0.0,17,0.0,0.0,
efatutazone,0.0445175669350021,0.0,0.0,7,0.0,0.0,0.0
efavirenz,-0.0061892422360842,0.0,0.0,7,0.0,0.0,
gabapentin,0.0159073487040004,0.0,0.0,7,0.0,0.0,
epirizole,-0.0057911555113582,0.0,0.0,7,0.0,0.0,
elacridar,-0.0024244822862548,0.0,0.0,7,0.0,0.0,
ellagic-acid,-0.0138100205315377,0.0,0.0,7,0.0,0.0,
emedastine,-0.0187195747069438,0.0,0.0,7,0.0,0.0,
fulvestrant,-0.0142998352441656,0.0,0.0,7,0.0,0.0,
ftorafur,-0.008214423403909,0.0,0.0,7,0.0,0.0,
fosfomycin,-0.0113998375123119,0.0,0.0,7,0.0,0.0,
foretinib,0.0261155676982591,0.0,0.0,15,0.0,0.0,0.0
entinostat,-0.0062227168635427,0.0,0.0,21,0.0,0.0,
fluoxetine,0.0275215114429834,0.0,0.0,7,0.0,0.0,0.0
elesclomol,-0.0022956099717166,0.0,0.0,7,0.0,0.0,
indirubin,0.0085642907799979,0.0,0.0,7,0.0,0.0,
defactinib,-0.0091414840394334,0.0,0.0,7,0.0,0.0,
indoramin,0.0071857125668379,0.0,0.0,7,0.0,0.0,
lorglumide,0.0428671558386069,0.0,0.0,7,0.0,0.0,0.0
lopinavir,-0.014350756258842,0.0,0.0,7,0.0,0.0,
loperamide,-0.0323186418752246,0.0,0.0,7,0.0,0.0,
lomitapide,0.0177432964636679,0.0,0.0,7,0.0,0.0,
lomeguatrib,-0.0190350860093757,0.0,0.0,7,0.0,0.0,
chlorpromazine,-0.0016437241819846,0.0,0.0,7,0.0,0.0,
chlorprothixene,-0.0060826113562048,0.0,0.0,7,0.0,0.0,
lofexidine,-0.0070875799408132,0.0,0.0,7,0.0,0.0,
losartan,0.0004523830866032,0.0,0.0,7,0.0,0.0,
choline-alfoscerate,-0.0396671367069187,0.0,0.0,7,0.0,0.0,
ciclesonide,-0.0457468400405927,0.0,0.0,7,0.0,0.0,
licarbazepine,0.0507998184214197,0.0,0.0,7,0.0,0.0,0.0
levosimendan,-0.0276472234100915,0.0,0.0,7,0.0,0.0,
cilostazol,0.0054374108319255,0.0,0.0,7,0.0,0.0,
cimetidine,-0.015301749164379,0.0,0.0,7,0.0,0.0,
cinaciguat,0.0053471102796996,0.0,0.0,7,0.0,0.0,
levomequitazine,-0.0477298440311372,0.0,0.0,7,0.0,0.0,
cinnarizine,-0.0290037833443205,0.0,0.0,7,0.0,0.0,
lidocaine,-0.0072005739084194,0.0,0.0,7,0.0,0.0,
levofloxacin,0.0337328295188599,0.0,0.0,7,0.0,0.0,0.0
lucitanib,-0.0428826541997364,0.0,0.0,7,0.0,0.0,
lupanine,-0.0582300726691268,0.0,0.0,7,0.0,0.0,
calpeptin,-0.0301468867744549,0.0,0.0,7,0.0,0.0,
camicinal,-0.0276400698145776,0.0,0.0,7,0.0,0.0,
camostat-mesilate,-0.0411775027499698,0.0,0.0,7,0.0,0.0,
camptothecin,0.0018384317085605,0.0,0.0,7,0.0,0.0,
medroxyprogesterone-acetate,-0.0361927821555285,0.0,0.0,7,0.0,0.0,
candesartan,-0.0171988247035969,0.0,0.0,7,0.0,0.0,
mebendazole,-0.0437476384915347,0.0,0.0,7,0.0,0.0,
maxacalcitol,-0.0723823208882051,0.0,0.0,7,0.0,0.0,
luliconazole,0.0209150506923765,0.0,0.0,7,0.0,0.0,
carbenoxolone,-0.0255088822580765,0.0,0.0,7,0.0,0.0,
carfilzomib,0.0181505730702242,0.0,0.0,7,0.0,0.0,
carglumic-acid,0.0119350119407325,0.0,0.0,7,0.0,0.0,
maraviroc,-0.042612769967701,0.0,0.0,7,0.0,0.0,
cariprazine,0.0206913040520253,0.0,0.0,7,0.0,0.0,
maprotiline,-0.0330776058843388,0.0,0.0,7,0.0,0.0,
carvedilol,-0.0140172648573977,0.0,0.0,7,0.0,0.0,
cefepime,-0.0310150029238485,0.0,0.0,7,0.0,0.0,
cefoperazone,-0.0201299859800434,0.0,0.0,7,0.0,0.0,
marimastat,-0.0354701494083089,0.0,0.0,7,0.0,0.0,
medrysone,-0.0586614054369186,0.0,0.0,7,0.0,0.0,
levocabastine,0.0116448675922927,0.0,0.0,7,0.0,0.0,
cladribine,-0.052971332648986,0.0,0.0,7,0.0,0.0,
ketanserin,0.0081560223827148,0.0,0.0,7,0.0,0.0,
kakonein,0.0358713512051251,0.0,0.0,7,0.0,0.0,0.0
cyproterone-acetate,-0.0159122560459223,0.0,0.0,7,0.0,0.0,
cytarabine,0.0070563265327756,0.0,0.0,7,0.0,0.0,
josamycin,-0.0585737998147564,0.0,0.0,7,0.0,0.0,
cytochalasin-b,0.0167926363467583,0.0,0.0,7,0.0,0.0,
ixazomib,0.015881188871772,0.0,0.0,7,0.0,0.0,
dacinostat,0.0939366356035574,0.0,0.0,7,0.0,0.0,0.0
ketoconazole,0.0189904458649691,0.0,0.0,7,0.0,0.0,
ivermectin,0.0140911591550961,0.0,0.0,7,0.0,0.0,
itraconazole,-0.0250219122037761,0.0,0.0,7,0.0,0.0,
danegaptide,-0.0281909043103959,0.0,0.0,7,0.0,0.0,
danusertib,0.0321687326570957,0.0,0.0,7,0.0,0.0,0.0
isoconazole,-0.0610932021289613,0.0,0.0,7,0.0,0.0,
dapivirine,-0.0520643833614994,0.0,0.0,7,0.0,0.0,
daunorubicin,-0.0294250405115308,0.0,0.0,7,0.0,0.0,
inositol,-0.0085096361827491,0.0,0.0,7,0.0,0.0,
inosine,0.0302735540719678,0.0,0.0,7,0.0,0.0,0.0
ivacaftor,-0.0199975315523894,0.0,0.0,7,0.0,0.0,
levetiracetam,-0.0052444681725551,0.0,0.0,7,0.0,0.0,
cyclizine,0.0068281597860578,0.0,0.0,7,0.0,0.0,
labetalol,-0.0161151200922343,0.0,0.0,7,0.0,0.0,
levalbuterol,-0.0324169219621576,0.0,0.0,7,0.0,0.0,
lersivirine,-0.001181604549384,0.0,0.0,7,0.0,0.0,
climbazole,-0.0146526128937716,0.0,0.0,7,0.0,0.0,
lenalidomide,-0.0319371062899441,0.0,0.0,8,0.0,0.0,
clioquinol,-0.0368591235867129,0.0,0.0,7,0.0,0.0,
clobetasol,-0.0116159557859122,0.0,0.0,7,0.0,0.0,
clofarabine,-0.0504312314346419,0.0,0.0,7,0.0,0.0,
clofazimine,0.025246245220405,0.0,0.0,7,0.0,0.0,0.0
cyanocobalamin,-0.0537596653278753,0.0,0.0,7,0.0,0.0,
clofibric-acid,0.0006402555160893,0.0,0.0,7,0.0,0.0,
clomipramine,0.012000914037793,0.0,0.0,7,0.0,0.0,
lapatinib,0.0277414684750644,0.0,0.0,17,0.0,0.0,0.0
clozapine,-0.0097604802777054,0.0,0.0,7,0.0,0.0,
lafutidine,0.0018239634334311,0.0,0.0,7,0.0,0.0,
compound e,0.0183930562165133,0.0,0.0,5,0.0,0.0,
conivaptan,0.0020513196624048,0.0,0.0,7,0.0,0.0,
crizotinib,0.0134863483244048,0.0,0.0,15,0.0,0.0,
curcumin,0.0171223573212391,0.0,0.0,9,0.0,0.0,
clofoctol,-0.0001676693967601,0.0,0.0,7,0.0,0.0,
oxatomide,0.0237112158786863,0.0,0.0,7,0.0,0.0,0.0
picotamide,-0.0082979067099748,0.0,0.0,7,0.0,0.0,
varenicline,0.0172980368105465,0.0,0.0,7,0.0,0.0,
KW-2449,-0.0025416645279127,0.0,0.0,24,0.0,0.0,
KX2-391,0.0092223148343729,0.0,0.0,7,0.0,0.0,
L-655240,0.0054970411921593,0.0,0.0,7,0.0,0.0,
L-690330,-0.0036899112758941,0.0,0.0,7,0.0,0.0,
triamcinolone,-0.0204615703916828,0.0,0.0,7,0.0,0.0,
L-citrulline,-0.0154140462570632,0.0,0.0,7,0.0,0.0,
L-ergothioneine,-0.007497274379726,0.0,0.0,7,0.0,0.0,
simeprevir,-0.0061621052484879,0.0,0.0,7,0.0,0.0,
sildenafil,0.0052543814061255,0.0,0.0,7,0.0,0.0,
LGX-818,-0.0276149047175228,0.0,0.0,7,0.0,0.0,
LXR-623,0.0301991102207565,0.0,0.0,7,0.0,0.0,0.0
AZD-7545,0.0096723112925135,0.0,0.0,7,0.0,0.0,
LY-215490,-0.0377470649216669,0.0,0.0,7,0.0,0.0,
LY-2157299,0.0332062975499786,0.0,0.0,7,0.0,0.0,0.0
LY-2228820,0.0299795606473378,0.0,0.0,7,0.0,0.0,0.0
KU-55933,0.0156194449968574,0.0,0.0,19,0.0,0.0,
KN-93,-0.0202410407358443,0.0,0.0,5,0.0,0.0,
simvastatin,0.0684920594655081,0.0,0.0,7,0.0,0.0,0.0
siramesine,0.0097795974260648,0.0,0.0,7,0.0,0.0,
JNK-IN-5A,-0.0310169363825155,0.0,0.0,19,0.0,0.0,
sotrastaurin,-0.0191144035414799,0.0,0.0,9,0.0,0.0,
JTC-801,0.000627468720812,0.0,0.0,7,0.0,0.0,
JTE-907,0.0145942062781408,0.0,0.0,7,0.0,0.0,
warfarin,-0.015976121095142,0.0,0.0,7,0.0,0.0,
JWE-035,0.0183395658096769,0.0,0.0,19,0.0,0.0,
solifenacin-succinate,-0.0282849737512165,0.0,0.0,7,0.0,0.0,
LY-2334737,-0.0006546847100943,0.0,0.0,7,0.0,0.0,
KD-023,0.0255482147555137,0.0,0.0,7,0.0,0.0,0.0
AZD-8931,-0.03909488684085,0.0,0.0,7,0.0,0.0,
tretinoin,-0.0157858580809854,0.0,0.0,5,0.0,0.0,
KIN001-127,0.0241713032468962,0.0,0.0,19,0.0,0.0,0.0
sodium-gualenate,0.0339226815802701,0.0,0.0,7,0.0,0.0,0.0
sobetirome,2.8818691319938382e-05,0.0,0.0,7,0.0,0.0,
smer-3,-0.0288645305429717,0.0,0.0,5,0.0,0.0,
KIN001-266,0.0217163890697113,0.0,0.0,22,0.0,0.0,
KD-025,0.0391878176678615,0.0,0.0,7,0.0,0.0,0.0
AZD-9668,0.0210455414253661,0.0,0.0,7,0.0,0.0,
LY-2784544,-0.0188694222164341,0.0,0.0,7,0.0,0.0,
sertindole,-0.0143674609768809,0.0,0.0,7,0.0,0.0,
NSI-189,0.0309798229522865,0.0,0.0,7,0.0,0.0,0.0
salirasib,-0.0225330671366684,0.0,0.0,7,0.0,0.0,
"4,5,6,7-tetrabromobenzotriazole",-0.0235972258404878,0.0,0.0,5,0.0,0.0,
triflupromazine,0.0634034986299502,0.0,0.0,7,0.0,0.0,1.0
salermide,0.0234909344452381,0.0,0.0,5,0.0,0.0,0.0
NVP-BGJ398,-0.0259180228996518,0.0,0.0,22,0.0,0.0,
NVP-DPP728,0.006027456993685,0.0,0.0,7,0.0,0.0,
NXY-059,-0.0187889728284908,0.0,0.0,7,0.0,0.0,
ruxolitinib,-0.0390568445951386,0.0,0.0,14,0.0,0.0,
OCO-1112,0.0083291430784539,0.0,0.0,7,0.0,0.0,
ORE-1001,-0.0400556170487782,0.0,0.0,7,0.0,0.0,
rotundine,-0.0472422657234429,0.0,0.0,7,0.0,0.0,
rottlerin,-0.0025628492555209,0.0,0.0,7,0.0,0.0,
PA-824,-0.0623499337065791,0.0,0.0,7,0.0,0.0,
PCA-4248,-0.012576384425871,0.0,0.0,7,0.0,0.0,
NSC-4644,-0.0500831518850221,0.0,0.0,7,0.0,0.0,
NPK76-II-72-1,0.0073808988635133,0.0,0.0,19,0.0,0.0,
NMS-1286937,-0.0134804436639652,0.0,0.0,7,0.0,0.0,
saquinavir,0.0135039345044788,0.0,0.0,7,0.0,0.0,
LY-2886721,-0.005664818207505,0.0,0.0,7,0.0,0.0,
semagacestat,0.023170887153084,0.0,0.0,9,0.0,0.0,
selinexor,-0.0294390398403979,0.0,0.0,7,0.0,0.0,
MD-920,-0.0608815947150758,0.0,0.0,7,0.0,0.0,
secnidazole,0.0039321131437328,0.0,0.0,7,0.0,0.0,
MF-101,-0.030381127332748,0.0,0.0,7,0.0,0.0,
MGCD-265,-0.0024095654660248,0.0,0.0,19,0.0,0.0,
sertraline,0.0003958791507775,0.0,0.0,7,0.0,0.0,
vardenafil,0.0087447896946438,0.0,0.0,7,0.0,0.0,
saxagliptin,-0.0168416114677965,0.0,0.0,7,0.0,0.0,
MK-0893,0.0016816278120584,0.0,0.0,7,0.0,0.0,
MK-2206,0.0309475168895245,0.0,0.0,17,0.0,0.0,0.0
trifluoperazine,0.0010609477881906,0.0,0.0,7,0.0,0.0,
zafirlukast,0.003066286483838,0.0,0.0,7,0.0,0.0,
MLN-8054,-0.0412785618931361,0.0,0.0,21,0.0,0.0,
N6022,0.0201119377985594,0.0,0.0,7,0.0,0.0,
MK-0752,0.0246566641878468,0.0,0.0,7,0.0,0.0,0.0
BAY-87-2243,-0.0094655126356275,0.0,0.0,7,0.0,0.0,
spironolactone,-0.0420768324310393,0.0,0.0,7,0.0,0.0,
staurosporine,-0.0228458029377027,0.0,0.0,6,0.0,0.0,
ACY-1215,-0.0190141360506301,0.0,0.0,21,0.0,0.0,
CP-945598,-0.0236100510388909,0.0,0.0,7,0.0,0.0,
tolcapone,-0.0038309329169222,0.0,0.0,7,0.0,0.0,
tolbutamide,-0.0238700944504253,0.0,0.0,7,0.0,0.0,
CT-7758,-0.0531149233122164,0.0,0.0,7,0.0,0.0,
tipiracil,-0.017751776428019,0.0,0.0,7,0.0,0.0,
CTS-1027,-0.0128479990864065,0.0,0.0,7,0.0,0.0,
tioguanine,0.0010106127640528,0.0,0.0,7,0.0,0.0,
CYT-997,-0.0213848408795392,0.0,0.0,7,0.0,0.0,
timonacic,-0.0326635830095216,0.0,0.0,7,0.0,0.0,
BMS-927711,-0.004347315714432,0.0,0.0,7,0.0,0.0,
tramadol,-0.0172137556858676,0.0,0.0,7,0.0,0.0,
BMS-509744,0.0184625618162064,0.0,0.0,22,0.0,0.0,
BMS-387032,-0.0655326163811533,0.0,0.0,15,0.0,0.0,
E-2012,-0.0592108831322402,0.0,0.0,7,0.0,0.0,
tolnaftate,-0.0240708479924798,0.0,0.0,7,0.0,0.0,
CO-102862,0.0136979326152873,0.0,0.0,7,0.0,0.0,
AGI-5198,0.0120806008896602,0.0,0.0,7,0.0,0.0,
tolvaptan,-0.0187594781226492,0.0,0.0,7,0.0,0.0,
BVD-523,0.0127114980734982,0.0,0.0,7,0.0,0.0,
BS-181,-0.0020965699406764,0.0,0.0,22,0.0,0.0,
BX-795,-0.0068807260642242,0.0,0.0,19,0.0,0.0,
tozasertib,-0.0322818116210843,0.0,0.0,15,0.0,0.0,
CEP-32496,0.0232486468188229,0.0,0.0,7,0.0,0.0,
CEP-37440,-0.0012686344603817,0.0,0.0,7,0.0,0.0,
CG-930,-0.0131640016349022,0.0,0.0,19,0.0,0.0,
EMD-1214063,0.0375963921356862,0.0,0.0,7,0.0,0.0,0.0
CGK-733,-0.0202174159618074,0.0,0.0,19,0.0,0.0,
CGP-12177,0.0086410896667319,0.0,0.0,7,0.0,0.0,
CGP-60474,-0.0613685039644613,0.0,0.0,27,0.0,0.0,
torcetrapib,0.0232874856206986,0.0,0.0,7,0.0,0.0,
BRD-K68548958,-0.0445337072481856,0.0,0.0,19,0.0,0.0,
CI-966,-0.0115057545585289,0.0,0.0,7,0.0,0.0,
topiramate,-0.0037551660696325,0.0,0.0,7,0.0,0.0,
BMY-14802,-0.0305576575729538,0.0,0.0,7,0.0,0.0,
BRD-K73261812,-0.0167328960169764,0.0,0.0,2,0.0,0.0,
thioridazine,0.0114993546944875,0.0,0.0,7,0.0,0.0,
EPZ-005687,0.0284137637730722,0.0,0.0,5,0.0,0.0,0.0
EVP-6124,0.0088255650290294,0.0,0.0,7,0.0,0.0,
talnetant,-0.0203459994460041,0.0,0.0,7,0.0,0.0,
BIX-01338,0.0157597211986163,0.0,0.0,5,0.0,0.0,
talazoparib,-0.0621567816383538,0.0,0.0,7,0.0,0.0,
tacedinaline,-0.0866031873579465,0.0,0.0,9,0.0,0.0,
HG-14-10-04,0.0460193706366067,0.0,0.0,22,0.0,0.0,0.0
travoprost,-0.0468917322958148,0.0,0.0,7,0.0,0.0,
swainsonine,-0.02370287149961,0.0,0.0,7,0.0,0.0,
tanaproget,-0.0988159273724446,0.0,0.0,7,0.0,0.0,
HMN-214,-0.015973720254816,0.0,0.0,21,0.0,0.0,
"ICI-185,282",0.0144439235919818,0.0,0.0,7,0.0,0.0,
sulpiride,-0.0338431455974288,0.0,0.0,7,0.0,0.0,
IKK-2-inhibitor-V,0.0009055157746082,0.0,0.0,7,0.0,0.0,
vu0155056,0.038650048598849,0.0,0.0,5,0.0,0.0,0.0
sulfadoxine,-0.0456600188841155,0.0,0.0,7,0.0,0.0,
sulbactam,-0.0069862600445565,0.0,0.0,7,0.0,0.0,
JNJ-26481585,0.0949286646412464,0.0,0.0,7,0.0,0.0,1.0
trazodone,0.0015601679037402,0.0,0.0,7,0.0,0.0,
PCI-24781,0.0405989959076093,0.0,0.0,7,0.0,0.0,0.0
tandutinib,-0.0417290730510497,0.0,0.0,7,0.0,0.0,
taranabant,-0.0306197942192699,0.0,0.0,7,0.0,0.0,
BMS-299897,-0.0014582282285235,0.0,0.0,7,0.0,0.0,
thiomersal,-0.0422965209066495,0.0,0.0,7,0.0,0.0,
vortioxetine,-0.029073888703161,0.0,0.0,7,0.0,0.0,
FK-888,0.0217137729654851,0.0,0.0,7,0.0,0.0,
thioguanine,9.39636135690118e-05,0.0,0.0,7,0.0,0.0,
tetrabenazine,-0.0458594083001625,0.0,0.0,7,0.0,0.0,
teneligliptin,-0.0048726255185514,0.0,0.0,7,0.0,0.0,
GSK-J2,0.0089908168500664,0.0,0.0,19,0.0,0.0,
tranilast,-0.0410870210686444,0.0,0.0,7,0.0,0.0,
GDC-0834,-0.0012735363519039,0.0,0.0,7,0.0,0.0,
GDC-0980,0.0210094532160756,0.0,0.0,15,0.0,0.0,
telcagepant,-0.0038946340586489,0.0,0.0,7,0.0,0.0,
GSK-1070916,0.0066068557245379,0.0,0.0,21,0.0,0.0,
GSK-2110183,0.0039767629367067,0.0,0.0,8,0.0,0.0,
tazarotene,-0.0364309454396544,0.0,0.0,7,0.0,0.0,
GSK-256066,-0.0544458679894797,0.0,0.0,7,0.0,0.0,
vernakalant,-0.0401370462733658,0.0,0.0,7,0.0,0.0,
rosiglitazone,0.0096859758603554,0.0,0.0,7,0.0,0.0,
PD-153035,-0.0223179496048847,0.0,0.0,7,0.0,0.0,
roquinimex,-0.0239546431765348,0.0,0.0,7,0.0,0.0,
zidovudine,-0.022126411209049,0.0,0.0,7,0.0,0.0,
YM-155,-0.0210816817241903,0.0,0.0,7,0.0,0.0,
ARP-101,-0.0147351873003046,0.0,0.0,7,0.0,0.0,
AR-A014418,0.0027075001812932,0.0,0.0,2,0.0,0.0,
pinitol,-0.0142025102165737,0.0,0.0,7,0.0,0.0,
pindolol,0.0167046903513474,0.0,0.0,7,0.0,0.0,
ZK-811752,-0.0277905962970184,0.0,0.0,7,0.0,0.0,
ursolic-acid,0.0040755016534779,0.0,0.0,7,0.0,0.0,
ZK-93426,-0.0276963364467874,0.0,0.0,7,0.0,0.0,
pimozide,-0.0140633796191302,0.0,0.0,7,0.0,0.0,
pimecrolimus,0.0067018994617402,0.0,0.0,7,0.0,0.0,
abacavir,-0.0421600744747103,0.0,0.0,7,0.0,0.0,
zileuton,-0.0445267810371155,0.0,0.0,7,0.0,0.0,
acecainide,-0.0049423790652049,0.0,0.0,7,0.0,0.0,
phenytoin,0.001953283460415,0.0,0.0,7,0.0,0.0,
ponatinib,0.0024096341190724,0.0,0.0,19,0.0,0.0,
Y-26763,0.0021518435831672,0.0,0.0,7,0.0,0.0,
XMD-16144,0.0216280359311507,0.0,0.0,13,0.0,0.0,
XMD-1499,-0.0296655679636458,0.0,0.0,19,0.0,0.0,
prochlorperazine,-0.0193118781619453,0.0,0.0,7,0.0,0.0,
primaquine,0.0005434134569401,0.0,0.0,7,0.0,0.0,
VE-822,0.0177950359417611,0.0,0.0,2,0.0,0.0,
prednisone,-0.0005987087064114,0.0,0.0,7,0.0,0.0,
prazosin,0.0312684295151708,0.0,0.0,7,0.0,0.0,0.0
AS-605240,0.0673550714064886,0.0,0.0,17,0.0,0.0,0.0
VX-661,-0.0136108321779685,0.0,0.0,7,0.0,0.0,
acetazolamide,-0.0140438749895388,0.0,0.0,7,0.0,0.0,
pralatrexate,-0.0358442595159027,0.0,0.0,7,0.0,0.0,
WAY-362450,-0.0287197336621956,0.0,0.0,7,0.0,0.0,
unc-0646,0.01299166001828,0.0,0.0,5,0.0,0.0,
WZ-3105,-0.0229353039228234,0.0,0.0,13,0.0,0.0,
WZ-4002,0.0041550957316045,0.0,0.0,22,0.0,0.0,
2-methoxyestradiol,-0.0135285362854099,0.0,0.0,7,0.0,0.0,
ARRY-334543,-0.0125259641456913,0.0,0.0,7,0.0,0.0,
XL-147,-0.0538901779795816,0.0,0.0,7,0.0,0.0,
VX-765,0.001096653162992,0.0,0.0,7,0.0,0.0,
phenylephrine,-0.0302673736969162,0.0,0.0,7,0.0,0.0,
acexamic-acid,0.0344365341787349,0.0,0.0,7,0.0,0.0,0.0
phenylbutazone,-0.0079859694644406,0.0,0.0,7,0.0,0.0,
paricalcitol,-0.0262014937274588,0.0,0.0,7,0.0,0.0,
almorexant,-0.0165120648042872,0.0,0.0,7,0.0,0.0,
paracetamol,0.0364802702514391,0.0,0.0,7,0.0,0.0,0.0
papaverine,-0.0198097696791077,0.0,0.0,7,0.0,0.0,
AMG-232,-0.038989941678,0.0,0.0,7,0.0,0.0,
palomid-529,0.0093379317428163,0.0,0.0,7,0.0,0.0,
palbociclib,0.001386789825137,0.0,0.0,18,0.0,0.0,
pasireotide,-0.035809531771983,0.0,0.0,7,0.0,0.0,
altretamine,0.0023351343410573,0.0,0.0,7,0.0,0.0,
alvocidib,-0.0458734460434104,0.0,0.0,18,0.0,0.0,
ambrisentan,-0.002776952590854,0.0,0.0,7,0.0,0.0,
oxiperomide,-0.0088972756109067,0.0,0.0,7,0.0,0.0,
amcinonide,-0.0435983876975426,0.0,0.0,7,0.0,0.0,
AMG-208,-0.0205027404513178,0.0,0.0,7,0.0,0.0,
AM-24,-0.0278344782167153,0.0,0.0,7,0.0,0.0,
amiloride,-0.0062085129147497,0.0,0.0,7,0.0,0.0,
alvimopan,-0.0089749168157673,0.0,0.0,7,0.0,0.0,
UNC-0638,0.0590758116054647,0.0,0.0,19,0.0,0.0,0.0
aliskiren,-0.0049137947957522,0.0,0.0,7,0.0,0.0,
penfluridol,-0.0042600597985769,0.0,0.0,7,0.0,0.0,
acipimox,-0.0004195682498925,0.0,0.0,7,0.0,0.0,
acivicin,-0.030512554675106,0.0,0.0,7,0.0,0.0,
phenylacetylglutamine,-0.0079011538089619,0.0,0.0,7,0.0,0.0,
acrivastine,-0.0419721426455109,0.0,0.0,7,0.0,0.0,
actarit,-0.0044941618836515,0.0,0.0,7,0.0,0.0,
phenprocoumon,-0.0193632743993072,0.0,0.0,7,0.0,0.0,
perindopril,0.0101688067963173,0.0,0.0,7,0.0,0.0,
alisertib,-0.0271773481722947,0.0,0.0,7,0.0,0.0,
adarotene,-0.0462448233763239,0.0,0.0,7,0.0,0.0,
perampanel,0.0262980673085866,0.0,0.0,7,0.0,0.0,0.0
pentobarbital,0.0391258520712558,0.0,0.0,7,0.0,0.0,0.0
valrubicin,-0.0300072775973694,0.0,0.0,7,0.0,0.0,
17-hydroxyprogesterone-caproate,0.0065272179666956,0.0,0.0,7,0.0,0.0,
penitrem-a,0.0168975772218219,0.0,0.0,7,0.0,0.0,
penicillin-v-potassium,-0.0161380410429669,0.0,0.0,7,0.0,0.0,
verapamil,-0.011904156403967,0.0,0.0,7,0.0,0.0,
adatanserin,0.0033095503140876,0.0,0.0,7,0.0,0.0,
vorinostat,0.0445219255647375,0.0,0.0,22,0.0,0.0,4.0
AKT-inhibitor-1-2,-0.0378287871755082,0.0,0.0,15,0.0,0.0,
TWS-119,0.0039821831492255,0.0,0.0,13,0.0,0.0,
trimebutine,-0.0193638698356174,0.0,0.0,7,0.0,0.0,
trimethoprim,-0.0446898757294841,0.0,0.0,7,0.0,0.0,
PSI-6130,-0.0133032666187206,0.0,0.0,7,0.0,0.0,
rimcazole,0.0284362251486704,0.0,0.0,7,0.0,0.0,0.0
rilpivirine,-0.002181203021121,0.0,0.0,7,0.0,0.0,
rilmenidine,-0.0135762097401357,0.0,0.0,7,0.0,0.0,
rigosertib,-0.0434154872326662,0.0,0.0,19,0.0,0.0,
R-547,-0.0282336776229421,0.0,0.0,7,0.0,0.0,
