,trace_score,baseline_score,sig_reproducibility,n_cell_lines,genetic_support,pathway_concordance,n_targets
torin-2,0.027555268923362,-0.0944569288389513,0.0,13,0.0,0.0,0.0
cabazitaxel,0.0278072709993405,-0.0944194756554307,0.0,7,0.0,0.0,0.0
ledipasvir,0.0138860180585339,-0.0940074906367041,0.0,7,0.0,0.0,
JQ1-(+),0.07565793584196,-0.0939138576779026,0.0,19,0.0,0.0,0.0
NVP-TAE684,0.0821504791910466,-0.0932022471910112,0.0,15,0.0,0.0,0.0
dasatinib,0.0813840538612186,-0.0929026217228464,0.0,30,0.0,0.0,6.0
LCQ-908,0.0303270026153766,-0.0926029962546816,0.0,7,0.0,0.0,0.0
atorvastatin,0.1114189474139403,-0.0923033707865168,0.0,7,0.0,0.0,0.0
taselisib,0.0284785970112657,-0.0919288389513108,0.0,7,0.0,0.0,0.0
proglumide,0.066816620874361,-0.0910861423220974,0.0,7,0.0,0.0,1.0
cobicistat,-0.0128454479085297,-0.0910674157303371,0.0,7,0.0,0.0,
lestaurtinib,0.001305208602737,-0.0910674157303371,0.0,7,0.0,0.0,
RAF-265,-0.027472131894244,-0.0907865168539325,0.0,21,0.0,0.0,
osimertinib,0.0582240531468546,-0.0906179775280898,0.0,24,0.0,0.0,1.0
meclofenamic-acid,0.0155310152581229,-0.0903558052434456,0.0,7,0.0,0.0,
lonafarnib,-0.006067384753309,-0.0900187265917603,0.0,7,0.0,0.0,
dolastatin-10,0.0109564194810568,-0.0897752808988763,0.0,7,0.0,0.0,
GSK-429286A,0.039790276004391,-0.0894756554307116,0.0,19,0.0,0.0,0.0
NVP-AUY922,0.0637161588420081,-0.0894756554307116,0.0,13,0.0,0.0,1.0
baricitinib,0.0582027437916066,-0.0889325842696629,0.0,7,0.0,0.0,2.0
tosedostat,-0.0295377779580748,-0.0886891385767789,0.0,7,0.0,0.0,
rufinamide,0.0793000076794316,-0.0884831460674157,0.0,7,0.0,0.0,1.0
fenticonazole,0.0141893601704726,-0.0881835205992509,0.0,7,0.0,0.0,
NVP-TAE226,0.0471837450986605,-0.0879026217228464,0.0,22,0.0,0.0,0.0
temoporfin,0.0208685894216014,-0.0873220973782771,0.0,7,0.0,0.0,
AS-703026,0.0233911963270768,-0.0865543071161049,0.0,7,0.0,0.0,
epitiostanol,0.0329713264538763,-0.0864232209737828,0.0,7,0.0,0.0,0.0
BIIB-021,0.0329542429040942,-0.0864232209737827,0.0,7,0.0,0.0,0.0
PF-04691502,-0.0094458310751791,-0.0863857677902621,0.0,7,0.0,0.0,
etomidate,0.0015191685134755,-0.0860299625468164,0.0,7,0.0,0.0,
canertinib,0.048160065493379,-0.0859363295880149,0.0,17,0.0,0.0,0.0
NVP-BHG712,0.0653904600293584,-0.0853932584269663,0.0,19,0.0,0.0,0.0
isofloxythepin,0.0154658245387748,-0.084943820224719,0.0,7,0.0,0.0,
rociletinib,0.0316335646848469,-0.0844569288389513,0.0,7,0.0,0.0,0.0
ursodiol,0.0368881980111672,-0.08438202247191,0.0,7,0.0,0.0,0.0
GSK-2126458,0.0303609459890394,-0.0843071161048688,0.0,15,0.0,0.0,0.0
fluticasone-propionate,-0.0043367719626791,-0.0830337078651685,0.0,7,0.0,0.0,
pelitinib,0.0130374624595811,-0.0830149812734082,0.0,15,0.0,0.0,
lurasidone,-0.0134795673104465,-0.0828089887640449,0.0,7,0.0,0.0,
GDC-0941,0.0458990747032635,-0.0827715355805243,0.0,17,0.0,0.0,0.0
dovitinib,0.0395321057292871,-0.0824719101123595,0.0,13,0.0,0.0,0.0
dacomitinib,0.0793806955605177,-0.0819662921348314,0.0,24,0.0,0.0,3.0
MG-132,0.043777604194365,-0.0817228464419475,0.0,7,0.0,0.0,0.0
radicicol,0.0466000532740775,-0.0815543071161048,0.0,15,0.0,0.0,0.0
AP-26113,0.0491474192330198,-0.0814794007490636,0.0,7,0.0,0.0,2.0
dabrafenib,0.0085691132117696,-0.0814794007490636,0.0,21,0.0,0.0,
KU-60019,0.0305632950167066,-0.0810674157303371,0.0,19,0.0,0.0,0.0
ticagrelor,0.0330529198912077,-0.0810112359550561,0.0,7,0.0,0.0,0.0
selumetinib,0.0698489095238831,-0.080131086142322,0.0,18,0.0,0.0,2.0
toremifene,0.0121410505435602,-0.0794756554307115,0.0,7,0.0,0.0,
malotilate,0.0054194100809584,-0.0792134831460674,0.0,7,0.0,0.0,
combretastatin-A-4,0.0099211174399733,-0.078876404494382,0.0,7,0.0,0.0,
PF-04136309,-0.012510211902206,-0.0788202247191011,0.0,7,0.0,0.0,
YM-201636,0.0833412168818309,-0.078314606741573,0.0,13,0.0,0.0,0.0
BMS-599626,0.0258170565468989,-0.0780149812734082,0.0,7,0.0,0.0,0.0
SCH-28080,-0.0150734255133273,-0.0779213483146067,0.0,7,0.0,0.0,
BMS-707035,-0.013434672448509,-0.0778089887640449,0.0,7,0.0,0.0,
metoprolol,-0.0235452056047786,-0.077191011235955,0.0,7,0.0,0.0,
calcitriol,-0.0158315110808714,-0.0770973782771535,0.0,7,0.0,0.0,
IOWH-032,0.0037484600568837,-0.0770599250936329,0.0,7,0.0,0.0,
KIN001-055,0.0133200284063968,-0.0770599250936329,0.0,19,0.0,0.0,
docetaxel,0.0232489778064365,-0.077003745318352,0.0,7,0.0,0.0,
fomocaine,0.0667647078988136,-0.0769101123595505,0.0,7,0.0,0.0,0.0
homochlorcyclizine,0.0285002931146789,-0.0763295880149812,0.0,7,0.0,0.0,0.0
siguazodan,0.0104541303526777,-0.0759550561797752,0.0,7,0.0,0.0,
macitentan,0.0199209575890323,-0.0758052434456928,0.0,7,0.0,0.0,
JW-7-24-1,0.0121359435309967,-0.0758052434456928,0.0,15,0.0,0.0,
faropenem,0.0171828433949785,-0.0757865168539325,0.0,7,0.0,0.0,
sasapyrine,-0.0009068627033848,-0.0757677902621722,0.0,7,0.0,0.0,
rosuvastatin,0.0673281329537973,-0.0755617977528089,0.0,7,0.0,0.0,1.0
SB-743921,0.0045668907311765,-0.0751310861423221,0.0,7,0.0,0.0,
indole-3-carbinol,0.018538623198821,-0.0750374531835205,0.0,7,0.0,0.0,
pioglitazone,0.0176865495547237,-0.0746629213483146,0.0,7,0.0,0.0,
tesaglitazar,0.0138431843316284,-0.0742883895131086,0.0,7,0.0,0.0,
ixabepilone,0.0169591968928652,-0.0731460674157303,0.0,7,0.0,0.0,
"16,16-dimethylprostaglandin-e2",0.0063508149706135,-0.0730711610486891,0.0,7,0.0,0.0,
tanespimycin,0.0561812825065102,-0.0730524344569288,0.0,21,0.0,0.0,0.0
anamorelin,0.011482914671288,-0.0726779026217228,0.0,7,0.0,0.0,
ercalcitriol,-0.030388315555975,-0.0726404494382022,0.0,7,0.0,0.0,
L-NAME,-0.0051184109691039,-0.0723033707865168,0.0,7,0.0,0.0,
MLN-0128,-0.0003040118835093,-0.0722471910112359,0.0,24,0.0,0.0,
clomifene,0.0334116977067967,-0.0717228464419475,0.0,7,0.0,0.0,0.0
ENMD-2076,0.0147118739874098,-0.0712359550561797,0.0,7,0.0,0.0,
MK-8245,0.014438143801292,-0.0712172284644194,0.0,7,0.0,0.0,
albendazole,-0.0001608090194426,-0.071067415730337,0.0,7,0.0,0.0,
geldanamycin,0.0545633614618235,-0.0702996254681648,0.0,16,0.0,0.0,0.0
pinacidil,-0.0092351222058763,-0.0700187265917602,0.0,7,0.0,0.0,
bifemelane,0.0021291993674998,-0.0698501872659176,0.0,7,0.0,0.0,
dilazep,-0.005021615007375,-0.0695692883895131,0.0,7,0.0,0.0,
amineptine,-0.0156489027079415,-0.0695318352059925,0.0,7,0.0,0.0,
armodafinil,0.0103942126350596,-0.0694943820224719,0.0,7,0.0,0.0,
fluocinolone-acetonide,0.0001367497030864,-0.069250936329588,0.0,7,0.0,0.0,
tioconazole,-0.0132546885620035,-0.0691385767790262,0.0,7,0.0,0.0,
isbufylline,0.0224655504255866,-0.0690262172284644,0.0,7,0.0,0.0,
erlotinib,-0.0199258292578378,-0.0689513108614232,0.0,15,0.0,0.0,
setiptiline,0.0070595727442768,-0.0689325842696629,0.0,7,0.0,0.0,
laropiprant,0.0192011613345233,-0.0687453183520599,0.0,7,0.0,0.0,
methoxsalen,0.0191581451377523,-0.0682397003745318,0.0,7,0.0,0.0,
ST-1859,0.0486171468209304,-0.0681835205992509,0.0,7,0.0,0.0,0.0
SU-11274,-0.0063845399643287,-0.06812734082397,0.0,13,0.0,0.0,
PF-02545920,0.0640014252633736,-0.0678464419475655,0.0,7,0.0,0.0,1.0
lonidamine,0.0522707453283154,-0.0675093632958801,0.0,7,0.0,0.0,0.0
pilaralisib,0.0246505620372901,-0.0674344569288389,0.0,7,0.0,0.0,0.0
linsidomine,0.0219730691134118,-0.0674157303370786,0.0,7,0.0,0.0,
RG-4733,0.0324805751193041,-0.0667415730337078,0.0,8,0.0,0.0,0.0
TAK-285,0.0224179207812606,-0.0663295880149812,0.0,7,0.0,0.0,
gallopamil,0.0604347381488696,-0.0663295880149812,0.0,7,0.0,0.0,0.0
NVP-BEZ235,0.0162761461819107,-0.0661423220973782,0.0,16,0.0,0.0,
darifenacin,-0.0065494787113437,-0.0660299625468164,0.0,7,0.0,0.0,
colchicine,0.0044380832456462,-0.0660299625468164,0.0,7,0.0,0.0,
AST-1306,0.0749161705699212,-0.0656554307116105,0.0,22,0.0,0.0,0.0
chlorpropamide,0.0282163891244443,-0.0656179775280899,0.0,7,0.0,0.0,0.0
mericitabine,0.0004734671655116,-0.0653932584269663,0.0,7,0.0,0.0,
sarsagenin,0.0268346958289855,-0.0651685393258426,0.0,7,0.0,0.0,0.0
