drug,weighted_trace,weighted_rank
olanzapine,0.01941224478935973,183
metronidazole,0.01920806337865793,184
ulipristal,0.018933112817529622,185
penfluridol,0.018544017395841418,186
crizotinib,0.018542812110687815,187
fosfomycin,0.018442362546212225,188
VE-822,0.018428676961864742,189
MK-2206,0.018208192269010236,190
dexniguldipine,0.018190055163642412,191
naftopidil,0.018164418372664214,192
saracatinib,0.018079523357972166,193
butorphanol-(+)-tartrate,0.017978146561311265,194
talnetant,0.017832336817889222,195
LCQ-908,0.01782130365794092,196
isbufylline,0.017497074818056266,197
olprinone,0.017042447691956456,198
paroxetine,0.016974782809900807,199
piracetam,0.016585161176736887,200
cytarabine,0.016368939833365116,201
vernakalant,0.01613201334254506,202
KN-62,0.01606208907957441,203
siguazodan,0.015900070879965953,204
amodiaquine,0.015836513900937203,205
AZD-3514,0.01575049388264431,206
picotamide,0.01570759157744512,207
OCO-1112,0.01564688814027821,208
anamorelin,0.015559419468103559,209
BIX-01294,0.01549070950902553,210
baricitinib,0.015107855671509896,211
licarbazepine,0.015079179597214781,212
famciclovir,0.015003197858607443,213
bopindolol,0.014677297948578845,214
guanadrel,0.014529837196905525,215
colchicine,0.014307712493221167,216
homochlorcyclizine,0.014181952780166094,217
dabrafenib,0.014124264193349528,218
ledipasvir,0.013884559984115278,219
budipine,0.01384143313948212,220
N6022,0.01349010697473066,221
netupitant,0.01348507746873942,222
JTE-907,0.013375314206661933,223
AVL-292,0.013186950880952937,224
SK&F-10047-(+),0.013128005429327636,225
temoporfin,0.013105823573160664,226
riluzole,0.013045347356111753,227
clomipramine,0.012831786564362289,228
trifluoperazine,0.012755081971064466,229
diphenidol,0.01270739129109512,230
sofalcone,0.01267193546367698,231
nortriptyline,0.012649337276633142,232
AST-1306,0.01251306586956088,233
butaclamol,0.012508226059607401,234
AZD-7687,0.012387355960551618,235
NU-7441,0.01210845464109463,236
mitiglinide,0.012025119127675015,237
tracazolate,0.011979939266484937,238
CNQX,0.011968907509097456,239
valsartan,0.0119683596464327,240
bardoxolone-methyl,0.01189737762692621,241
doxazosin,0.011774767425172626,242
praziquantel,0.011765388808536023,243
docetaxel,0.011689052715024925,244
isofloxythepin,0.011633112444676182,245
siramesine,0.011577934214929279,246
mibefradil,0.011540039269851633,247
tipifarnib-P2,0.011524037609992039,248
macitentan,0.01150625275548476,249
carfilzomib,0.011472426127936487,250
fingolimod,0.011332779823581112,251
meptazinol,0.011120994856250137,252
KU-60019,0.011075144892888937,253
GDC-0834,0.011066363659279837,254
cyclobenzaprine,0.01070366466593735,255
AZD-1981,0.01063694162300965,256
DPCPX,0.010564771456985199,257
bupivacaine,0.010455868850444637,258
moxifloxacin,0.010286221968496564,259
calpain inhibitor ii,0.010165366439950412,260
sufentanil,0.009980903389525444,261
fluoxetine,0.009824024527520823,262
metixene,0.009681063933059534,263
LY-2228820,0.009492012183331412,264
entinostat,0.009424450941026107,265
indole-3-carbinol,0.009001151161824513,266
TWS-119,0.008952002033614442,267
GDC-0980,0.00889578668485198,268
KX2-391,0.008408716089587822,269
anidulafungin,0.008251643763357911,270
dexamethasone,0.008214088217443715,271
PHA-665752,0.00793564991499937,272
FK-888,0.007890756523148237,273
umeclidinium,0.007818967700392207,274
ACY-1215,0.007726014119083642,275
FK-866,0.00751240674572201,276
KIN001-266,0.007418208472827148,277
BMS-299897,0.0073672452102481545,278
rimonabant,0.007204054313384121,279
aliskiren,0.007128973838929049,280
PK-11195,0.007015038731264174,281
NVP-AEW541,0.00699689755105972,282
amlexanox,0.006979069333389775,283
anandamide,0.006896276384890602,284
ursolic-acid,0.006886505029407677,285
histamine,0.006731377656654206,286
epirizole,0.006291097727588183,287
ibrutinib,0.006260557163845618,288
fluticasone-propionate,0.006193405806956758,289
S-18986,0.006185395339134177,290
ursodiol,0.0060957741416201305,291
AR-A014418,0.0060949574344088,292
lafutidine,0.006071142428451205,293
dilazep,0.0060230084783553075,294
cabergoline,0.005970518734242812,295
oprozomib,0.005937254829569837,296
clonazepam,0.005736899690929632,297
AZD-7762,0.005638949234366464,298
LXR-623,0.005460673497069892,299
TH-302,0.005279289616126331,300
sarsagenin,0.005181630235831439,301
iguratimod,0.005096337349368421,302
meclofenamic-acid,0.005008337689474798,303
WZ-4002,0.0049679655066783394,304
nebivolol,0.004956076499066948,305
lasalocid,0.004784422768973159,306
armodafinil,0.004780960784949657,307
anacetrapib,0.004672533898492234,308
genz-644282,0.0044811810532216015,309
clofoctol,0.004303378887195583,310
timofibrate,0.004292197931306878,311
oxatomide,0.0042342488499596265,312
mepacrine,0.004086046895709997,313
pimozide,0.00408049233718022,314
golvatinib,0.00407048298981244,315
mocetinostat,0.004055769025638778,316
ifenprodil,0.004030868394910165,317
preladenant,0.003991565179237356,318
drospirenone,0.003948898302138245,319
ixazomib,0.003895860724603559,320
PF-04691502,0.0035453711434076216,321
cariprazine,0.003469819357067463,322
duloxetine,0.0032609652478837563,323
danusertib,0.00313383997016506,324
CGP-12177,0.003121818896294321,325
PF-03758309,0.002848489423422439,326
MK-0812,0.0027971666334474584,327
cisapride,0.0027722236577253628,328
dosulepin,0.002755064361775308,329
buflomedil,0.0027279689863209115,330
amoxapine,0.0026743645972717015,331
RG-2833,0.0025952791800772654,332
AT-9283,0.0025942940949491905,333
famotidine,0.0025682125206868975,334
