drug,baseline_score,baseline_rank,trace_score,trace_rank
rociletinib,-0.08445692883895131,107,0.03163356468484693,157
ursodiol,-0.08438202247191007,108,0.03688819801116724,128
GSK-2126458,-0.08430711610486888,109,0.03036094598903948,163
fluticasone-propionate,-0.08303370786516856,110,-0.004336771962679123,558
pelitinib,-0.08301498127340826,111,0.013037462459581102,310
lurasidone,-0.08280898876404494,112,-0.013479567310446519,737
GDC-0941,-0.08277153558052436,113,0.04589907470326354,90
dovitinib,-0.08247191011235955,114,0.039532105729287115,115
dacomitinib,-0.08196629213483149,115,0.07938069556051772,28
MG-132,-0.08172284644194758,116,0.043777604194365057,98
radicicol,-0.08155430711610487,117,0.046600053274077596,87
AP-26113,-0.08147940074906367,118,0.049147419233019865,82
dabrafenib,-0.08147940074906362,119,0.008569113211769683,364
KU-60019,-0.08106741573033713,120,0.030563295016706637,162
ticagrelor,-0.08101123595505619,121,0.033052919891207705,145
selumetinib,-0.08013108614232206,122,0.06984890952388316,38
toremifene,-0.07947565543071156,123,0.01214105054356027,319
malotilate,-0.07921348314606744,124,0.005419410080958436,396
combretastatin-A-4,-0.07887640449438205,125,0.009921117439973317,343
PF-04136309,-0.07882022471910113,126,-0.012510211902206088,702
YM-201636,-0.07831460674157302,127,0.08334121688183091,23
BMS-599626,-0.07801498127340822,128,0.025817056546898965,189
SCH-28080,-0.07792134831460676,129,-0.015073425513327365,771
BMS-707035,-0.07780898876404492,130,-0.013434672448509091,736
metoprolol,-0.07719101123595506,131,-0.023545205604778647,925
calcitriol,-0.07709737827715353,132,-0.01583151108087144,787
IOWH-032,-0.07705992509363294,133,0.0037484600568837975,421
KIN001-055,-0.07705992509363294,134,0.013320028406396848,305
docetaxel,-0.07700374531835202,135,0.023248977806436564,204
fomocaine,-0.07691011235955053,136,0.0667647078988136,43
homochlorcyclizine,-0.07632958801498124,137,0.02850029311467896,171
siguazodan,-0.07595505617977526,138,0.010454130352677742,335
macitentan,-0.07580524344569288,139,0.019920957589032395,232
JW-7-24-1,-0.07580524344569288,140,0.012135943530996781,320
faropenem,-0.07578651685393259,141,0.017182843394978567,262
sasapyrine,-0.07576779026217229,142,-0.0009068627033848006,507
rosuvastatin,-0.07556179775280898,143,0.06732813295379739,41
SB-743921,-0.07513108614232211,144,0.004566890731176506,407
indole-3-carbinol,-0.07503745318352056,145,0.01853862319882106,246
pioglitazone,-0.07466292134831462,146,0.017686549554723777,258
tesaglitazar,-0.07428838951310862,147,0.013843184331628415,298
ixabepilone,-0.07314606741573036,148,0.01695919689286529,267
"16,16-dimethylprostaglandin-e2",-0.07307116104868916,149,0.006350814970613563,387
tanespimycin,-0.07305243445692883,150,0.05618128250651022,65
anamorelin,-0.07267790262172283,151,0.01148291467128801,328
ercalcitriol,-0.07264044943820223,152,-0.030388315555975067,1082
L-NAME,-0.07230337078651686,153,-0.0051184109691039415,570
MLN-0128,-0.07224719101123596,154,-0.0003040118835093583,490
clomifene,-0.07172284644194754,155,0.03341169770679672,141
ENMD-2076,-0.07123595505617977,156,0.014711873987409875,291
MK-8245,-0.07121722846441947,157,0.014438143801292056,294
albendazole,-0.07106741573033709,158,-0.00016080901944260306,487
geldanamycin,-0.07029962546816482,159,0.054563361461823515,68
pinacidil,-0.07001872659176028,160,-0.009235122205876335,644
bifemelane,-0.0698501872659176,161,0.0021291993674998396,439
dilazep,-0.06956928838951312,162,-0.005021615007375043,568
amineptine,-0.0695318352059925,163,-0.01564890270794159,781
armodafinil,-0.06949438202247192,164,0.010394212635059638,336
fluocinolone-acetonide,-0.06925093632958802,165,0.00013674970308640897,481
tioconazole,-0.06913857677902624,166,-0.013254688562003507,728
isbufylline,-0.06902621722846441,167,0.022465550425586636,210
erlotinib,-0.06895131086142325,168,-0.01992582925783783,854
setiptiline,-0.06893258426966294,169,0.007059572744276839,376
laropiprant,-0.06874531835205994,170,0.019201161334523306,240
methoxsalen,-0.06823970037453181,171,0.019158145137752366,241
ST-1859,-0.0681835205992509,172,0.04861714682093049,83
SU-11274,-0.06812734082397004,173,-0.006384539964328726,595
PF-02545920,-0.06784644194756555,174,0.06400142526337368,46
lonidamine,-0.06750936329588014,175,0.05227074532831546,73
pilaralisib,-0.06743445692883893,176,0.02465056203729014,194
linsidomine,-0.06741573033707865,177,0.02197306911341181,214
RG-4733,-0.06674157303370785,178,0.032480575119304154,152
TAK-285,-0.06632958801498126,179,0.02241792078126062,211
gallopamil,-0.06632958801498123,180,0.06043473814886962,53
NVP-BEZ235,-0.06614232209737828,181,0.016276146181910797,276
darifenacin,-0.06602996254681648,182,-0.006549478711343723,599
colchicine,-0.06602996254681645,183,0.004438083245646233,409
AST-1306,-0.06565543071161051,184,0.0749161705699212,35
chlorpropamide,-0.0656179775280899,185,0.028216389124444304,176
mericitabine,-0.06539325842696632,186,0.00047346716551161335,473
sarsagenin,-0.06516853932584268,187,0.02683469582898556,183
DPI-201106,-0.06501872659176029,188,0.033010327107966794,146
pravastatin,-0.06488764044943818,189,0.04454696921230496,93
XMD11-85H,-0.06470037453183522,190,0.05371979985179828,70
GSK-923295,-0.06443820224719099,191,-0.004846887570109852,563
sofalcone,-0.06363295880149811,192,0.02873340401709302,169
honokiol,-0.0630898876404494,193,0.021589888494258417,220
lacidipine,-0.06275280898876405,194,0.03543103058254294,137
tecastemizole,-0.06239700374531837,195,0.03680375347523708,129
ornidazole,-0.062322097378277125,196,-0.0004862168674487017,495
budipine,-0.06226591760299627,197,0.021885848674881588,215
UK-383367,-0.06196629213483147,198,0.015955061457178912,280
PD-184352,-0.06189138576779027,199,0.03984747261824212,112
amikacin,-0.061779026217228465,200,-0.0038875428175638087,552
XMD-1150,-0.06176029962546814,201,0.03299736187654672,147
bisindolylmaleimide,-0.06166666666666663,202,0.037588665079934386,126
GSK-690693,-0.061591760299625486,203,-0.00608364401437896,585
podophyllotoxin,-0.06123595505617979,204,0.005371085004147513,397
tenidap,-0.06121722846441946,205,0.00473426756347403,405
vicriviroc,-0.06110486891385769,206,0.004007476055411338,415
r(-)-apomorphine,-0.05992509363295879,207,0.001629533644320662,451
trehalose,-0.059662921348314635,208,-0.0031172621448352987,540
alaproclate,-0.05906367041198503,209,-0.006950283662521745,604
lomerizine,-0.05840823970037454,210,-0.005130174036034271,571
tegobuvir,-0.05788389513108613,211,0.012330204747018531,317
cabergoline,-0.05779026217228464,212,0.022586765871124223,207
TG-101348,-0.057715355805243417,213,0.06016578674577396,55
PKI-179,-0.05647940074906367,214,-0.015363911556599627,776
cilomilast,-0.05576779026217227,215,0.03320275381790347,143
balaglitazone,-0.05340823970037453,216,-0.015316930547856357,774
valsartan,-0.050393258426966236,217,0.001402203780409777,457
SR-2640,-0.050112359550561814,218,-0.0038842720454043324,551
diclofensine,-0.04657303370786518,219,-0.00025399892081313913,489
nepafenac,-0.045880149812734056,220,-0.01442355629924045,757
bitopertin,0.0,221,0.004501351987830396,408
meisoindigo,0.0,222,0.020700379365634965,228
busulfan,0.0,223,-0.022495331720176166,908
broxuridine,0.0,224,0.013250221957955395,307
meglitinide,0.0,225,-0.0041902374905093,556
methylprednisolone,0.0,226,-0.06673908446483771,1631
mefloquine,0.0,227,-0.01296132079335156,717
meptazinol,0.0,228,-0.0005820768941244172,498
buspirone,0.0,229,-0.058770026526282555,1548
merbarone,0.0,230,-0.03120846094660344,1103
mephentermine,0.0,231,-0.021388701565549433,887
amitriptyline,0.0,232,-0.03177935799405735,1113
amitifadine,0.0,233,-0.018620153214530106,826
mestinon,0.0,234,-0.05319838999434448,1474
brequinar,0.0,235,-0.01878783625083068,831
amlexanox,0.0,236,-0.008293797477324727,625
bms-906024,0.0,237,-0.010925450293331267,674
bosutinib,0.0,238,0.039628657020168344,114
bupivacaine,0.0,239,0.00964423408154924,352
menadione,0.0,240,-0.02469482383239848,950
metergoline,0.0,241,0.006819274831755272,381
metatinib,0.0,242,0.0072055640336530745,374
bortezomib,0.0,243,0.0356959849723289,134
metformin,0.0,244,0.013138291559469108,308
buparlisib,0.0,245,-0.02177289675560405,895
mepacrine,0.0,246,0.022116788403014905,213
apocynin,0.0,247,-0.011142489127487946,678
metixene,0.0,248,0.010945315328319829,331
andarine,0.0,249,0.019285074046503037,237
atovaquone,0.0,250,-0.00042067420892089285,493
nortriptyline,0.0,251,0.010653313942607523,333
avanafil,0.0,252,0.0023278221318233606,436
naftopidil,0.0,253,0.022484250079792285,209
azacitidine,0.0,254,0.01808809453531071,253
naftidrofuryl,0.0,255,0.00682127178875247,380
mycophenolic-acid,0.0,256,0.01179157112450926,325
mycophenolate-mofetil,0.0,257,-0.012412798349085792,698
mubritinib,0.0,258,-0.012832543740958593,713
bafilomycin a1,0.0,259,0.10280063589586823,9
mozavaptan,0.0,260,0.0021965022169645517,437
moxifloxacin,0.0,261,-0.013334904045757464,732
moxidectin,0.0,262,-0.029464740781776383,1057
molsidomine,0.0,263,-0.02341140305927794,923
narlaprevir,0.0,264,-4.796503216002938e-06,485
molindone,0.0,265,0.028721689702809756,170
navitoclax,0.0,266,-0.011431103004582487,683
anecortave-acetate,0.0,267,0.00017343066850459342,479
nicergoline,0.0,268,-0.04405819816150941,1342
netupitant,0.0,269,0.0019305380863888087,447
nesbuvir,0.0,270,0.019724510176148492,234
niclosamide,0.0,271,-0.02228598411851266,905
argatroban,0.0,272,-0.0003283874744714241,491
aphidicolin,0.0,273,-0.027419515594393516,1000
apabetalone,0.0,274,0.01528552488519281,288
aripiprazole,0.0,275,0.020991794559453037,224
anisodamine,0.0,276,-0.05346118690099731,1478
aniracetam,0.0,277,-0.03313724128238298,1142
neostigmine,0.0,278,0.005257198836315412,399
nisoxetine,0.0,279,-0.027525599201944445,1004
aspirin,0.0,280,0.004815720468968674,403
asymmetrical-dimethylarginine,0.0,281,-0.026664978945819373,986
ataluren,0.0,282,-0.010650433640830535,672
nefazodone,0.0,283,-0.012057705213043203,694
