drug,baseline,net_trace,weighted_trace,vae_score,genetic_support,sig_reproducibility,n_cell_lines,combined_score,combined_rank,genetic_support_expanded,combined_score_expanded,combined_rank_expanded
AZD-4547,-0.1042322097378277,0.0407645179857662,0.0464248271371806,0.322005,0.0,0.0,24,0.7308432371250707,29,0.0,0.0203822589928831,108
ulipristal,0.0,0.0406407019855174,0.0189331128175296,-0.041317772,0.0,0.0,7,0.6264289756649689,284,0.0,0.0203203509927587,109
PCI-24781,0.0,0.0405989959076093,0.0803199449943894,0.13170862,0.0,0.0,7,0.7228258819090737,37,0.0,0.02029949795380465,110
zolpidem,-0.0950187265917602,0.0405115721389588,0.0256268731829539,-0.009137039,0.0,0.0,7,0.6559517072250518,178,0.0,0.0202557860694794,111
PD-184352,-0.0618913857677902,0.0398474726182421,0.0406029521977149,0.06328928,0.0,0.0,15,0.6965100924353895,75,0.0,0.01992373630912105,112
GSK-429286A,-0.0894756554307116,0.039790276004391,0.0251373402749675,0.070461996,0.0,0.0,19,0.6939634031314846,82,0.0,0.0198951380021955,113
bosutinib,0.0,0.0396286570201683,0.0484602067933612,0.112177655,0.0,0.0,24,0.7132050556498774,53,0.0,0.01981432851008415,114
dovitinib,-0.0824719101123595,0.0395321057292871,0.029980443264758,0.2673207,0.0,0.0,13,0.7238634219958499,35,0.0,0.01976605286464355,115
binimetinib,0.0,0.0394566159410294,0.0647856559689567,0.15779105,0.0,0.0,7,0.7251839275608375,33,0.0,0.0197283079705147,116
cordycepin,0.0622471910112359,0.0392744020525639,0.0220245544837697,-0.078654416,0.0,0.0,7,0.6033201282776834,366,0.0,0.01963720102628195,117
tracazolate,0.0,0.0392311088623537,0.0119799392664849,-0.6234222,0.0,0.0,7,0.5538011695906433,603,0.0,0.01961555443117685,118
KD-025,0.0,0.0391878176678615,-0.0017259983299017,-0.05043921,0.0,0.0,7,0.6001131861912846,394,0.0,0.01959390883393075,119
pentobarbital,0.0,0.0391258520712558,0.0470197980389882,-0.050070133,0.0,0.0,7,0.6302961705338616,260,0.0,0.0195629260356279,120
AVL-292,-0.1008239700374531,0.0391013287496834,0.0131869508809529,0.029725406,0.0,0.0,7,0.6724580267873986,135,0.0,0.0195506643748417,121
SB-939,0.0,0.0388896013149444,0.0640053566278313,0.00815167,0.0,0.0,21,0.6772684399169968,119,0.0,0.0194448006574722,122
vu0155056,0.0,0.038650048598849,-0.0116357204136693,-0.38003162,0.0,0.0,5,0.5440860215053763,648,0.0,0.0193250242994245,123
PF-573228,0.0,0.0377638621530975,-0.0152540309509059,-0.20708793,0.0,0.0,19,0.5427655159403886,659,0.0,0.01888193107654875,124
EMD-1214063,0.0,0.0375963921356862,0.0241097442150748,0.019862026,0.0,0.0,7,0.6731182795698925,131,0.0,0.0187981960678431,125
bisindolylmaleimide,-0.0616666666666666,0.0375886650799343,0.0762607946874581,0.015627488,0.0,0.0,7,0.6834936804376532,110,0.0,0.01879433253996715,126
BGT-226,-0.1165168539325842,0.0369310953447884,0.0238623190982589,-0.3724608,0.0,0.0,22,0.5780418788907753,492,0.0,0.0184655476723942,127
ursodiol,-0.08438202247191,0.0368881980111672,0.0060957741416201,-0.049613193,0.0,0.0,7,0.6093567251461988,347,0.0,0.0184440990055836,128
tecastemizole,-0.0623970037453183,0.036803753475237,0.0399525944659596,0.026011545,0.0,0.0,7,0.6821731748726655,113,0.0,0.0184018767376185,129
paracetamol,0.0,0.0364802702514391,0.0432850981349137,-0.08009636,0.0,0.0,7,0.6086021505376343,349,0.0,0.01824013512571955,130
caffeine,0.1061797752808988,0.0359909207552588,-0.0011534788757583,-0.021762904,0.0,0.0,7,0.6204867006225241,305,0.0,0.0179954603776294,131
HG-6-64-01,-0.1282584269662921,0.0358994495873832,0.0330874861600113,-0.13529955,0.0,0.0,15,0.5905866817581588,435,0.0,0.0179497247936916,132
kakonein,0.0,0.0358713512051251,0.0019781228671057,0.06612927,0.0,0.0,7,0.6726466704395397,133,0.0,0.01793567560256255,133
bortezomib,0.0,0.0356959849723289,0.0420317512311563,0.06286105,0.0,0.0,7,0.6944350122618373,80,0.0,0.01784799248616445,134
nalbuphine,-0.1012359550561797,0.0355892931630838,0.0247294443215137,-0.038954526,0.0,0.0,7,0.6287870213167327,271,0.0,0.0177946465815419,135
anandamide,0.0535205992509363,0.0354683171977326,0.0068962763848906,-0.0514263,0.0,0.0,7,0.6073759667987172,353,0.0,0.0177341585988663,136
lacidipine,-0.062752808988764,0.0354310305825429,0.0393667046156909,-0.038697004,0.0,0.0,7,0.6344463308809659,241,0.0,0.01771551529127145,137
acexamic-acid,0.0,0.0344365341787349,-0.0019389642903347,-0.036129,0.0,0.0,7,0.6082248632333522,350,0.0,0.01721826708936745,138
sodium-gualenate,0.0,0.0339226815802701,0.0003265967853684,0.008434272,0.0,0.0,7,0.6463308809658556,202,0.0,0.01696134079013505,139
levofloxacin,0.0,0.0337328295188599,-0.0088972261175532,-0.61820614,0.0,0.0,7,0.5296547821165818,729,0.0,0.01686641475942995,140
clomifene,-0.0717228464419475,0.0334116977067967,0.0504413656898459,0.05650674,0.0,0.0,7,0.6950952650443313,78,0.0,0.01670584885339835,141
LY-2157299,0.0,0.0332062975499786,0.0216791573190316,0.033640336,0.0,0.0,7,0.6765138653084324,122,0.0,0.0166031487749893,142
cilomilast,-0.0557677902621722,0.0332027538179034,0.0196256218910269,-0.05655994,0.0,0.0,7,0.6132239200150914,333,0.0,0.0166013769089517,143
troglitazone,0.0857865168539326,0.0330673153379555,0.0271419641090683,-0.021163058,0.0,0.0,7,0.642840973401245,215,0.0,0.01653365766897775,144
ticagrelor,-0.0810112359550561,0.0330529198912077,0.0278721859438265,0.04000569,0.0,0.0,7,0.6818902093944539,114,0.0,0.01652645994560385,145
DPI-201106,-0.0650187265917602,0.0330103271079667,-0.0236597788706381,0.0075109224,0.0,0.0,7,0.6101112997547632,344,0.0,0.01650516355398335,146
XMD-1150,-0.0617602996254681,0.0329973618765467,0.0442421910299271,0.18279396,0.0,0.0,15,0.7211280890398039,40,0.0,0.01649868093827335,147
epitiostanol,-0.0864232209737828,0.0329713264538763,-0.0097896687471083,0.01111247,0.0,0.0,7,0.6350122618373891,238,0.0,0.01648566322693815,148
BIIB-021,-0.0864232209737827,0.0329542429040942,0.0583137896884107,0.0055355,0.0,0.0,7,0.6714204867006225,139,0.0,0.0164771214520471,149
SNX-2112,-0.1231835205992509,0.0326448851321329,0.0383060143679656,-0.06714,0.0,0.0,7,0.6127523108847387,334,0.0,0.01632244256606645,150
ibrutinib,0.0,0.0326210612428271,0.0062605571638456,0.014459652,0.0,0.0,24,0.6559517072250519,177,0.0,0.01631053062141355,151
RG-4733,-0.0667415730337078,0.0324805751193041,-0.0075957383940477,-0.54859805,0.0,0.0,8,0.5360686662893793,700,0.0,0.01624028755965205,152
danusertib,0.0,0.0321687326570957,0.003133839970165,-0.21077417,0.0,0.0,7,0.5649311450669684,552,0.0,0.01608436632854785,153
paclitaxel,-0.098876404494382,0.0319459661823021,0.0218308189969001,0.10282231,0.0,0.0,7,0.6963214487832484,76,0.0,0.01597298309115105,154
R-428,-0.1318539325842696,0.0318685315080164,0.0708171404455582,0.08223875,0.0,0.0,7,0.7036785512167515,63,0.0,0.0159342657540082,155
theophylline,0.0776779026217228,0.0316521935055429,-0.008422258376605,-0.1565802,0.0,0.0,7,0.5536125259385022,604,0.0,0.01582609675277145,156
rociletinib,-0.0844569288389513,0.0316335646848469,0.0353299251635989,0.05141356,0.0,0.0,7,0.6878324844368987,99,0.0,0.01581678234242345,157
prazosin,0.0,0.0312684295151708,-0.008739107301352,-0.050625037,0.0,0.0,7,0.5878513488021128,448,0.0,0.0156342147575854,158
NSI-189,0.0,0.0309798229522865,-0.0122191127193719,-0.0229142,0.0,0.0,7,0.6027541973212601,372,0.0,0.01548991147614325,159
MK-2206,0.0,0.0309475168895245,0.0182081922690102,0.111483924,0.0,0.0,17,0.6971703452178833,73,0.0,0.01547375844476225,160
praziquantel,0.0623970037453183,0.0308660781834888,0.011765388808536,-0.0037491394,0.0,0.0,7,0.6476513865308432,197,0.0,0.0154330390917444,161
KU-60019,-0.0810674157303371,0.0305632950167066,0.0110751448928889,0.095895596,0.0,0.0,19,0.685851726089417,104,0.0,0.0152816475083533,162
GSK-2126458,-0.0843071161048688,0.0303609459890394,0.0270022919133173,-0.3482534,0.0,0.0,15,0.5767213733257875,495,0.0,0.0151804729945197,163
LCQ-908,-0.0926029962546816,0.0303270026153766,0.0178213036579409,0.031149818,0.0,0.0,7,0.6715148085266931,138,0.0,0.0151635013076883,164
inosine,0.0,0.0302735540719678,0.0002619687367318,-0.54757327,0.0,0.0,7,0.5446519524617996,645,0.0,0.0151367770359839,165
LXR-623,0.0,0.0301991102207565,0.0054606734970698,-0.04815278,0.0,0.0,7,0.6057724957555178,360,0.0,0.01509955511037825,166
LY-2228820,0.0,0.0299795606473378,0.0094920121833314,0.022392781,0.0,0.0,7,0.66076212035465,168,0.0,0.0149897803236689,167
AZD-7762,-0.104438202247191,0.0294559589917467,0.0056389492343664,0.09933866,0.0,0.0,27,0.6823618185248066,112,0.0,0.01472797949587335,168
sofalcone,-0.0636329588014981,0.028733404017093,0.0126719354636769,0.008035766,0.0,0.0,7,0.655291454442558,180,0.0,0.0143667020085465,169
molindone,0.0,0.0287216897028097,-0.0182302130413649,-0.04332099,0.0,0.0,7,0.5764384078475759,499,0.0,0.01436084485140485,170
homochlorcyclizine,-0.0763295880149812,0.0285002931146789,0.014181952780166,-0.6322768,0.0,0.0,7,0.5497453310696095,625,0.0,0.01425014655733945,171
taselisib,-0.0919288389513108,0.0284785970112657,0.0231714297640769,-0.015891619,0.0,0.0,7,0.643501226183739,212,0.0,0.01423929850563285,172
rimcazole,0.0,0.0284362251486704,0.0274323505694642,0.044033673,0.0,0.0,7,0.680381060177325,116,0.0,0.0142181125743352,173
EPZ-005687,0.0,0.0284137637730722,0.0468471265810131,-0.08686594,0.0,0.0,5,0.6018109790605547,383,0.0,0.0142068818865361,174
refametinib,0.0,0.0282387059496049,0.0541818297364901,0.164874,0.0,0.0,7,0.7193359743444633,43,0.0,0.01411935297480245,175
chlorpropamide,-0.0656179775280899,0.0282163891244443,-0.0114241091730709,-0.11794895,0.0,0.0,7,0.5502169401999623,620,0.0,0.01410819456222215,176
flumatinib,0.0,0.0281693526392441,0.0419016897733834,0.061758347,0.0,0.0,7,0.6901905300886625,94,0.0,0.01408467631962205,177
cabazitaxel,-0.0944194756554307,0.0278072709993405,0.0203433995295013,0.14940691,0.0,0.0,7,0.705282022259951,60,0.0,0.01390363549967025,178
