entrez_id,consensus_lfc,heldout_expr,in_consensus
147920,3.2754629954522767,0.18164999441485674,True
2274,1.7381964904183211,1.6516583069313255,True
3075,1.2133029216750115,2.536662989290199,True
6273,3.19069058868802,0.9781389861274044,True
1294,1.8233920372142551,1.8562486566412364,True
7373,1.9832994100265693,2.303562361027047,True
54621,-1.0498151550849748,1.6310074649682527,True
7162,1.0381190453734437,1.5424842933517509,True
953,0.837850845207258,1.9805042523646161,True
23287,-0.5261784334658078,1.6835564779038505,True
1308,2.794715108739087,1.0771702011422142,True
1734,2.23843455430974,1.3240245771524448,True
100423062,2.436520870267236,1.7463163632709091,True
2281,-0.8254228823017331,1.119363666581786,True
84627,1.3658713098664257,1.1646949864984308,True
3899,-0.8722548966733973,1.4302375045368354,True
122060,-0.614327184932588,1.1168330933971036,True
9721,-1.4023020119195333,1.2463337945794126,True
100506658,-0.9642120160894674,1.8702029560074682,True
7082,-0.6263559253454458,2.1272612814977307,True
3852,3.0997245897000916,0.9618336152970856,True
4311,-1.32607390777371,1.570424598270433,True
408,-0.56700732054311,1.9052475047320288,True
221687,-0.969861777143122,0.8732365210360596,True
9337,-0.3761893955546035,1.9072134300805828,True
9625,-0.8759488504370002,1.480108440385631,True
10381,1.7274504377334734,1.2236590806188206,True
81567,0.972840815397514,2.398688597103245,True
10529,-0.7854205537972936,1.9286434446741554,True
250,-1.647767836423982,0.5330992659914632,True
6809,-0.6196778539749194,1.9183020048557644,True
57669,-0.5052035748169004,1.818159788602769,True
10749,-0.567284014362192,2.3143975092537783,True
91133,-0.4263786574354484,1.2491240340671923,True
1278,1.2791104847233572,2.997134713983284,True
126306,1.6249992691430075,0.3362708714226376,True
7982,-0.4912925580119083,1.7231573203275063,True
23171,-0.4950467923903011,1.8361542282711951,True
84624,1.9057061529361248,1.0883353712703374,True
284904,-1.428742769911214,0.7516683568151489,True
84976,-0.9682004196132284,1.619431145254927,True
83849,-0.9406633214662794,1.4389273157124602,True
1669,-2.6650528167160523,-0.26089913380551627,True
8395,-0.6489215626331942,1.3985559739007707,True
285527,-0.4201732901169034,1.7919034830542073,True
100820829,-1.5742955676695096,1.689516220136373,True
54578,2.856972251813286,0.30600123617210095,True
9185,-0.6003644252125461,1.4574929393404603,True
284252,0.9844500349522936,1.1873505860982392,True
29761,-0.3235911016709286,1.8113409803991387,True
4052,0.7674515014235733,2.246967315986863,True
64220,1.3230672000853807,0.46220510816022164,True
2048,0.8843079235648131,1.390499673037926,True
374569,-1.393617557784457,0.43045501012525156,True
5067,1.0967366561301168,0.830614949349407,True
730130,1.8696394120062456,-0.13172576599421615,True
157574,1.0172596664325937,0.6076659552922838,True
26872,1.4020957450146554,1.45095285342422,True
284297,0.961293775408982,1.4242268201076071,True
54674,-1.123554561080756,1.1267034206495818,True
57645,-0.3172267273726303,1.9699254887456283,True
721,1.1366828723516795,2.202142384561107,True
11024,-1.134531897220762,0.844776348997698,True
79145,-0.4374961979409944,1.6133326084041144,True
92747,2.840923763600233,1.565734074368731,True
27255,-1.1870857129670158,1.03333255327352,True
50618,-0.3479338099384469,1.930974740500447,True
727897,2.6966853122228467,1.3774028000860705,True
221692,-0.7694583325804789,1.6762517888102169,True
119587,1.2734901170648087,1.5365752038333436,True
29116,-0.5210979548595167,1.735923800930671,True
63923,1.47049971317817,0.7330504632317836,True
2524,1.4407495864742188,0.5034056802784481,True
4815,-0.7009455579423284,1.2035321715525225,True
6744,-0.4101281061683659,2.079865077914305,True
11343,-0.5465872382495357,2.2388609838322413,True
58526,-0.5366294958355831,1.8096831308251766,True
57514,-0.6419423663289509,2.0953105099852376,True
51280,0.531414182285858,1.7712041546935553,True
7273,-1.146985035420743,1.666180764415934,True
6799,-0.932801638478826,0.9471409869518144,True
84513,0.412990801686443,1.6723590866519467,True
79971,0.3481714761822198,1.9826423884645972,True
645,-0.5359058488104774,1.841931409423905,True
5797,-0.4925277762910554,2.24382311906586,True
11200,0.5446428558335391,1.2221125813020892,True
8650,-0.2843205047147819,2.1202196285737562,True
6924,-0.3259001964310692,1.949722398357375,True
286205,-0.49586391811163,1.1970591452301282,True
255488,-0.5104082755699723,1.8856350693250334,True
157310,-1.5834871989555512,1.6679979383006502,True
3157,-0.5913207670388844,1.8536342560118615,True
1288,1.102001012191961,1.1578134732427943,True
2776,-0.3359859436279201,1.9771139289300241,True
11027,-0.9115040701468212,1.1417056993148709,True
1674,1.3660029768949773,2.29780054687676,True
5885,-0.3182814828547293,2.127519814639715,True
10627,-0.3418249429215436,2.454791032309709,True
283849,-0.8325046023694371,1.2260753114057246,True
395,-0.4763547249535609,1.526337095149251,True
22873,0.5183995052459595,1.545831473652995,True
253738,1.2477909553757058,0.38247086694156507,True
6999,1.862385930729012,1.0918856230732281,True
65244,0.3631030012603303,1.5623320522623416,True
