pert_iname,n_signatures,n_cell_lines,cell_lines
KBG,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
KD-023,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
KD-025,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
KI-20227,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
KIN001-043,137,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
KIN001-055,113,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
KIN001-127,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
KIN001-242,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
KIN001-244,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
KIN001-260,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
KIN001-266,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
KIN001-269,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
KIN001-270,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
KN-62,12,5,A375|A549|MCF7|NPC.TAK|PC3
KN-93,15,5,A375|A549|MCF7|NPC.TAK|PC3
KU-55933,129,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
KU-60019,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
KW-2449,174,24,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
KW-2478,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
KX2-391,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
L-655240,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
L-690330,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
L-NAME,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
L-citrulline,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
L-ergothioneine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
LCL-161,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
LCQ-908,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
LDN-193189,111,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
LGX-818,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
LX-1031,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
LXR-623,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
LY-2090314,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
LY-215490,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
LY-2157299,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
LY-2228820,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
LY-2334737,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
LY-2603618,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
LY-2784544,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
LY-2801653,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
LY-2811376,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
LY-2874455,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
LY-2886721,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
LY-294002,14,5,A375|A549|MCF7|NPC.TAK|PC3
MBX-2982,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
MC1568,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
MD-920,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
MDL-73005EF,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
MF-101,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
MG-132,2310,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
MGCD-265,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
MK-0752,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
MK-0773,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
MK-0812,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
MK-0893,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
MK-1775,155,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
MK-2206,180,17,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
MK-2461,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
MK-3207,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
MK-5108,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
MK-8033,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
MK-8245,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
MLN-0128,173,24,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
MLN-2480,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
MLN-8054,156,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
N6022,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
NF-449,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
NMS-1286937,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
NPK76-II-72-1,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
NSC-4644,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
NSI-189,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
NU-7026,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
NU-7441,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
NVP-AEW541,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
NVP-AUY922,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
NVP-BEZ235,162,16,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|NPC|PC3|SKBR3|YAPC
NVP-BGJ398,131,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
NVP-BHG712,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
NVP-DPP728,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
NVP-TAE226,130,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
NVP-TAE684,138,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
NXY-059,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
O6-benzylguanine,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
OCO-1112,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ORE-1001,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ORG-9768,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
OSI-027,153,16,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|NPC.TAK|PC3|SKBR3
OSI-930,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
OTS-167,142,24,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
PA-824,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PCA-4248,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PCI-24781,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PD-0325901,660,30,A375|A549|ASC|ASC.C|BT20|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HS578T|HT29|HUES3|HUVEC|JURKAT|LNCAP|MCF10A|MCF7|MDAMB231|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKBR3|SKL|SKL.C|YAPC
PD-123319,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PD-153035,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PD-173074,138,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
PD-184352,156,15,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
PF-02545920,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PF-03084014,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PF-03758309,153,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
PF-03814735,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PF-04136309,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PF-04217903,174,24,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
PF-04447943,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PF-04457845,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PF-04620110,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PF-04691502,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PF-431396,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
PF-477736,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
PF-562271,179,17,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
PF-573228,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
PFI-1,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
PH-797804,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PHA-665752,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
PHA-767491,128,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
PHA-793887,180,17,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
PHA-848125,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PI-103,180,17,A375|A549|BT20|HA1E|HCC515|HELA|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC
PIK-93,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
PK-11195,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PKI-179,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PLX-4720,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
PRX-08066,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PS-178990,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PSI-6130,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PSI-7976,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
PX-12,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
QL-X-138,138,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
QL-XI-92,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
QL-XII-47,137,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
R-428,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
R-547,39,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
RAF-265,156,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
REV-5901,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
RG-108,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
RG-2833,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
RG-4733,48,8,A375|HA1E|HELA|HT29|MCF7|NPC|PC3|YAPC
RGFP-966,13,5,A375|A549|MCF7|NPC.TAK|PC3
RHO-kinase-inhibitor-III[rockout],42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
RS-127445,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
RU-58841,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
Ro-4987655,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
S-18986,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
S-ruxolitinib,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SAR-245408,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
SAR-245409,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
SB-203580,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
SB-216763,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
SB-239063,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
SB-242235,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SB-271046,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SB-525334,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
SB-590885,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
SB-683698,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SB-705498,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SB-743921,41,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SB-756050,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SB-939,156,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
SC-12267,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SCH-28080,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SDZ-NKT-343,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SEP-227900,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SGI-1776,172,24,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
SGX523,156,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
SK&F-10047-(+),42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SN-38,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SNX-2112,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SR-2640,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SR-27897,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SR-33805,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SR-57227A,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
ST-1859,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
STA-5326,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SU-014813,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SU-11274,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
SU-11652,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
SYK-inhibitor,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
T-5224,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
TAK-285,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
TAK-715,156,21,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HELA|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C|YAPC
TAK-733,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
TAK-875,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
TAS-103,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
TG-100115,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
TG-100801,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
TG-101348,119,14,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|NPC|PC3|SKBR3
TGX-221,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
TH-302,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
THZ-2-98-01,138,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
TIC10,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
TPCA-1,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
TTNPB,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
TWS-119,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
UK-383367,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
UNC-0321,15,5,A375|A549|MCF7|NPC.TAK|PC3
UNC-0638,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
UNC-1215,129,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
UNC-669,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
VE-821,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
VE-822,6,2,A375|NPC
VGX-1027,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
VP-20629,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
VT-464,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
VTP-27999,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
VX-222,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
VX-661,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
VX-745,114,19,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUVEC|MCF7|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
VX-765,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
WAY-362450,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
WH-4-025,114,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
WYE-125132,138,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
WZ-3105,112,13,A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3
WZ-4-145,138,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
WZ-4002,130,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
WZ-7043,132,22,A375|A549|ASC|ASC.C|CD34|HA1E|HCC515|HEPG2|HME1|HT29|HUES3|HUVEC|JURKAT|MCF7|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKL|SKL.C
XBD-173,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
XL-147,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
XL-888,42,7,A375|HA1E|HELA|HT29|MCF7|PC3|YAPC
XMD-1150,138,15,A375|A549|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3
