gene_id,gene_symbol,log2FC,pvalue,n_datasets,padj
23048,FNBP1,0.052862108,0.012108408664579604,1,0.10031418212303911
23049,SMG1,-0.0034979284,0.9361598501383347,1,1.0
2305,FOXM1,-0.0034746975,0.04976520313023442,1,0.26594647438087166
23051,ZHX3,-0.01260037,0.35347146445171695,1,0.6917090366077853
23052,ENDOD1,-0.13638541,0.0009212552697641982,1,0.013804442557772394
23053,ZSWIM8,0.0038792044,0.9386371361645907,1,1.0
23054,NCOA6,0.0044915453,0.7978689054052656,1,1.0
23057,NMNAT2,-0.0005435118,0.06335512828356844,1,0.3107550118100608
23059,CLUAP1,-0.038235728,0.04356605137265744,1,0.24423169518182974
2306,FOXD2,-0.00076371536,0.0240766166533546,1,0.16333133760702448
23060,ZNF609,-0.025356442,0.201125962908268,1,0.5971482091508844
23061,TBC1D9B,-0.050298356,0.004104580202770348,1,0.044792679708007134
23062,GGA2,-0.0027633458,0.9476742161827064,1,1.0
23063,WAPL,-0.07033913,0.05110752489864719,1,0.270557475541768
23064,SETX,-0.03304319,0.215312403295013,1,0.6188347319820073
23065,EMC1,-0.008544393,0.5060882985587337,1,0.8790239302513394
23066,CAND2,-0.002124144,0.22354258008350092,1,0.6327390326975221
23067,SETD1B,-0.025969122,0.20724428769804248,1,0.6069928493986283
2307,FOXS1,0.0,,1,1.0
23070,CMTR1,0.041632425,0.025177171349856177,1,0.1685291881530716
23071,ERP44,-0.15022323,0.0005813170456250828,1,0.00952226494193189
23072,HECW1,0.0012732372,0.3487291984785674,1,0.6854098078830747
23075,SWAP70,0.03744085,0.3591946800850463,1,0.6989245714960483
23076,RRP1B,-0.05119314,0.01826371492582106,1,0.13463150537969648
23077,MYCBP2,-0.08782862,0.0020937131822866884,1,0.026569073496443028
23078,VWA8,0.010643207,0.5448562590204298,1,0.9250360729248575
2308,FOXO1,-0.01743312,0.0019439093705368423,1,0.025096343059946465
23080,AVL9,-0.040013008,0.04820609789784264,1,0.2606531262017408
23081,KDM4C,-0.020597555,0.29773525877096296,1,0.6591637315128221
23082,PPRC1,-0.026058502,0.2416053882179321,1,0.6591637315128221
23085,ERC1,-0.033451237,0.18293274118262848,1,0.5688584931106119
23086,EXPH5,0.039594293,0.3592465351010702,1,0.6989913160490431
23087,TRIM35,0.013558406,0.3235900507692875,1,0.6591637315128221
23089,PEG10,-0.06258109,0.4813042415609471,1,0.8493778545388194
2309,FOXO3,-0.041174367,0.35865260851097003,1,0.6982963218929391
23090,ZNF423,0.0014350873,0.3281830050558069,1,0.6591637315128221
23091,ZC3H13,-0.060896438,0.004613609896034517,1,0.048867963227482894
23092,ARHGAP26,-0.031409226,3.774033984830308e-08,1,3.3848154799533264e-06
23093,TTLL5,-0.02065815,0.014208380974173047,1,0.1125206936474327
23094,SIPA1L3,0.020769142,0.38119214225831155,1,0.7263454806473788
23095,KIF1B,0.021020845,0.5784305436098183,1,0.9644159057077163
23096,IQSEC2,-0.022530435,0.01855354335515793,1,0.1362523251211553
23097,CDK19,-0.03260953,0.0114310177456079,1,0.09621529436648747
23098,SARM1,-0.03862443,0.00047127347394678104,1,0.008049144759182829
23099,ZBTB43,-0.044945776,0.22910733264463756,1,0.6410033519637873
231,AKR1B1,0.031615198,0.049527577454633646,1,0.26513916271035376
23101,MCF2L2,-0.0109143555,2.6410079826689532e-05,1,0.0007682072964051161
23102,TBC1D2B,-0.04797014,0.1939786560332395,1,0.5868868208287548
23105,FSTL4,-0.004185458,0.4758521751414604,1,0.8428105442471243
23107,MRPS27,-0.06918905,0.007888750323051356,1,0.07325123623976404
