gene_symbol,log2FC,pvalue,padj,dataset
Ensembl_GeneID,-0.0014430135,0.9509713,1.0,GSE136831
ENSG00000000003,0.00049792504,0.28359717,0.6698999968249091,GSE136831
ENSG00000000005,-0.0879311,0.0010337322,0.022236857309497975,GSE136831
ENSG00000000419,0.00054075755,0.9392354,1.0,GSE136831
ENSG00000000457,0.020534853,0.11364604,0.5269231229419064,GSE136831
ENSG00000000460,-0.013541963,0.08914945,0.46702233047186076,GSE136831
ENSG00000000938,-0.00863751,0.726628,1.0,GSE136831
ENSG00000000971,-0.013993904,0.487657,0.8584676572159466,GSE136831
ENSG00000001036,-0.014240254,0.50708425,0.8799393937875778,GSE136831
ENSG00000001084,-0.016507754,0.027812924,0.23909036599425756,GSE136831
ENSG00000001167,-0.011011688,0.4646083,0.8335411621505739,GSE136831
ENSG00000001460,0.007289067,0.7854093,1.0,GSE136831
ENSG00000001461,0.03364479,0.109292075,0.5180518220100893,GSE136831
ENSG00000001497,0.044841293,0.109289974,0.5180518220100893,GSE136831
ENSG00000001561,-0.010161172,0.38578695,0.7431408546358035,GSE136831
ENSG00000001617,-0.23108889,1.1667421e-07,9.471636947923734e-06,GSE136831
ENSG00000001626,0.12621647,0.010633534,0.12677467877135168,GSE136831
ENSG00000001629,-0.053896666,0.27157453,0.6698999968249091,GSE136831
ENSG00000001630,-0.012271479,0.6469044,1.0,GSE136831
ENSG00000001631,-0.10958919,0.0024565058,0.04329556107126665,GSE136831
ENSG00000002016,-0.0048691733,0.6027866,0.9823765472098221,GSE136831
ENSG00000002079,0.09571719,0.019084135,0.18817120991775152,GSE136831
ENSG00000002330,0.0031037927,0.9185642,1.0,GSE136831
ENSG00000002549,0.18766305,5.17573e-06,0.00025326352468359815,GSE136831
ENSG00000002586,-0.0023059505,0.60981727,0.9897045917802693,GSE136831
ENSG00000002587,-0.0015410057,0.5107778,0.883847662920764,GSE136831
ENSG00000002726,-0.004319024,0.20400317,0.6682020003745656,GSE136831
ENSG00000002745,-0.027973212,0.0909099,0.4720260284335152,GSE136831
