gene_symbol,log2FC,pvalue,padj,dataset
RP5-892K4.1,-0.0012180841,0.08520049,0.3008544376466265,GSE135893
RP11-181G12.2,-0.0005641685,0.008561367,0.05553844924779479,GSE135893
FAAP20,-0.28504336,3.4379914e-06,0.00010948930208277384,GSE135893
RP11-181G12.4,0.0,,1.0,GSE135893
SKI,-0.024871401,0.2858873,0.6361638969490901,GSE135893
MORN1,-0.013015425,0.004254004,0.03259081635480173,GSE135893
RER1,-0.1413067,0.0030228107,0.024914526162690024,GSE135893
PEX10,-0.009198185,0.6567033,1.0,GSE135893
PLCH2,-0.0010079647,0.30914646,0.6361638969490901,GSE135893
RP3-395M20.2,0.0,,1.0,GSE135893
RP3-395M20.3,-6.0515733e-05,0.328183,0.6361638969490901,GSE135893
PANK4,-0.0011144355,0.9367157,1.0,GSE135893
HES5,-0.00071769784,0.029835502,0.14291688851283413,GSE135893
RP3-395M20.12,-0.009103955,0.30779618,0.6361638969490901,GSE135893
RP3-395M20.8,-0.022511736,0.00037493435,0.00475090359441789,GSE135893
TNFRSF14,-0.0065729767,0.8462856,1.0,GSE135893
RP3-395M20.9,6.1032333e-06,0.97414726,1.0,GSE135893
FAM213B,-0.0023864117,0.83795357,1.0,GSE135893
MMEL1,-0.001082854,0.028041711,0.13616333953474677,GSE135893
RP13-436F16.1,0.0,,1.0,GSE135893
TTC34,0.0010498575,0.51444525,0.8901284954881484,GSE135893
RP11-740P5.2,0.0,,1.0,GSE135893
RP11-740P5.3,0.0,,1.0,GSE135893
ACTRT2,0.0,,1.0,GSE135893
LINC00982,0.013554636,0.2438416,0.5939419493170749,GSE135893
PRDM16,-0.0049908906,0.77445877,1.0,GSE135893
RP1-163G9.2,-6.0841907e-05,0.963601,1.0,GSE135893
RP11-22L13.1,-0.0003281152,0.24791923,0.6004018250070708,GSE135893
ARHGEF16,-0.0058283396,0.67968136,1.0,GSE135893
RP11-168F9.2,-0.00055043,0.33663145,0.649064627834795,GSE135893
MEGF6,-0.061074406,0.08349073,0.2973101955447116,GSE135893
RP11-46F15.2,0.0072703855,0.34584478,0.662434987415063,GSE135893
TPRG1L,-0.029152747,0.03362721,0.1556451458168249,GSE135893
WRAP73,-0.02297483,0.056345485,0.22398593401032665,GSE135893
TP73,-0.00055716257,0.0151064275,0.08592728000904437,GSE135893
RP5-1092A11.5,-9.7321055e-05,0.2033421,0.528494951366661,GSE135893
RP5-1092A11.2,0.0,,1.0,GSE135893
TP73-AS1,0.024747055,0.12122676,0.3818110278676127,GSE135893
CCDC27,0.0,,1.0,GSE135893
SMIM1,-0.16044414,1.290544e-06,5.024763523331315e-05,GSE135893
LRRC47,-0.05137565,0.008501076,0.055233009009878514,GSE135893
RP1-286D6.5,0.0015482721,0.4018026,0.7400020106694319,GSE135893
CEP104,-0.0047948062,0.80689126,1.0,GSE135893
DFFB,0.01892075,0.19430652,0.5139343088093727,GSE135893
C1orf174,-0.02586282,0.057094812,0.22584557510872183,GSE135893
LINC01134,0.009122669,0.37605515,0.7042856019868852,GSE135893
LINC01346,0.0,,1.0,GSE135893
RP13-614K11.2,0.0,,1.0,GSE135893
RP5-1166F10.1,0.0,,1.0,GSE135893
RP1-37J18.1,0.0,,1.0,GSE135893
RP1-37J18.2,0.0,,1.0,GSE135893
AJAP1,0.0,,1.0,GSE135893
RP11-542C10.1,0.0,,1.0,GSE135893
RP1-58B11.1,0.0,,1.0,GSE135893
RP11-154H17.1,0.0,,1.0,GSE135893
NPHP4,0.0089313295,0.5901808,0.989823412438303,GSE135893
KCNAB2,0.0034841849,0.61543286,1.0,GSE135893
CHD5,-2.4722587e-05,0.328183,0.6361638969490901,GSE135893
RPL22,-1.0307609,8.806318e-09,1.1060363957740397e-06,GSE135893
RP1-120G22.11,-0.0067890296,0.40414977,0.7432279431940935,GSE135893
RNF207,0.03153927,0.025436178,0.12668833355064843,GSE135893
ICMT,0.023804396,0.4482106,0.803077241404062,GSE135893
LINC00337,-6.0515733e-05,0.328183,0.6361638969490901,GSE135893
HES3,0.0,,1.0,GSE135893
GPR153,-0.0010890501,0.0062577254,0.0439724296341117,GSE135893
ACOT7,0.0008643791,0.94368696,1.0,GSE135893
RP1-202O8.3,-0.0029141717,0.0007303272,0.008052239905880077,GSE135893
HES2,0.0009111683,0.25430065,0.6106332834712319,GSE135893
ESPN,-0.0024902697,0.00028762413,0.003832031466306573,GSE135893
RP1-202O8.2,0.0,,1.0,GSE135893
TNFRSF25,0.003688977,0.4121071,0.755182300817521,GSE135893
PLEKHG5,-0.0023222389,0.55827224,0.9478722779688951,GSE135893
NOL9,-0.020638023,0.19204079,0.5106774347637039,GSE135893
TAS1R1,-2.88667e-05,0.32818308,0.6361638969490901,GSE135893
ZBTB48,-0.020476207,0.20865741,0.5371722132514042,GSE135893
KLHL21,-0.022411428,0.16219412,0.4644764468584727,GSE135893
PHF13,0.006010536,0.7953959,1.0,GSE135893
THAP3,0.009875167,0.47465068,0.8381134077270955,GSE135893
DNAJC11,-0.018740945,0.1722201,0.4776740133649509,GSE135893
RP11-242F24.1,0.0,,1.0,GSE135893
RP11-312B8.1,-0.001793834,0.023450615,0.11953782419337357,GSE135893
CAMTA1,-0.18447912,0.00010668039,0.001773304894931978,GSE135893
RP11-334N17.1,0.0,,1.0,GSE135893
RP3-453P22.2,0.0,,1.0,GSE135893
RP4-549F15.1,-6.0515733e-05,0.328183,0.6361638969490901,GSE135893
RP11-338N10.1,-2.4722587e-05,0.328183,0.6361638969490901,GSE135893
RP11-338N10.2,0.0,,1.0,GSE135893
RP11-338N10.3,0.0016039365,0.2998682,0.6361638969490901,GSE135893
VAMP3,-0.117482364,0.001395251,0.013512960006636826,GSE135893
PER3,-0.069389805,0.024245853,0.12238797867510202,GSE135893
RP3-467L1.4,-0.00030955943,0.14481962,0.4314751246213934,GSE135893
UTS2,-0.00027585664,0.75999665,1.0,GSE135893
TNFRSF9,-0.0074050836,0.16807589,0.4708771127741358,GSE135893
PARK7,-0.46008864,1.0750335e-08,1.2754288107468042e-06,GSE135893
ERRFI1,-0.13662684,0.23615377,0.5817345378626019,GSE135893
RP11-431K24.1,-0.00391307,0.24526665,0.5966797382866003,GSE135893
RP11-431K24.3,0.00017496396,0.622122,1.0,GSE135893
RP11-431K24.4,0.0,,1.0,GSE135893
SLC45A1,0.0028114347,0.53904283,0.9226573091065609,GSE135893
RERE,-0.07950248,0.01243774,0.07426496952753656,GSE135893
RP5-1115A15.1,-0.00039584152,0.053000037,0.21497330373323278,GSE135893
RP4-633I8.4,-0.0011196983,0.29171807,0.6361638969490901,GSE135893
ENO1,-0.5267351,5.7915195e-06,0.00016735802489678756,GSE135893
ENO1-AS1,-0.0049744444,0.1840757,0.4962988378854335,GSE135893
CA6,-8.2566665e-05,0.32818305,0.6361638969490901,GSE135893
SLC2A7,0.0,,1.0,GSE135893
SLC2A5,-0.000787099,0.030963954,0.14686084629418245,GSE135893
GPR157,-0.058930915,0.00830644,0.05437676087296864,GSE135893
MIR34AHG,0.00031734072,0.97341734,1.0,GSE135893
RP3-510D11.2,-0.0030121394,0.5434849,0.9285625021136452,GSE135893
RP3-510D11.4,0.0,,1.0,GSE135893
H6PD,-0.017905526,0.6833274,1.0,GSE135893
SPSB1,0.035786457,0.37562633,0.70371717625868,GSE135893
RP13-392I16.1,0.0,,1.0,GSE135893
SLC25A33,-0.12813519,1.1506141e-06,4.620833468665354e-05,GSE135893
TMEM201,-0.010546738,0.2607021,0.6208594402955193,GSE135893
PIK3CD,0.014234526,0.07184831,0.2668511401714077,GSE135893
PIK3CD-AS1,0.0,,1.0,GSE135893
PIK3CD-AS2,-0.011789109,0.03127525,0.14797631414213297,GSE135893
CLSTN1,0.071346365,0.035802074,0.1626199883840482,GSE135893
AL357140.1,0.00026505467,0.3737769,0.7011256045387094,GSE135893
CTNNBIP1,-0.006278485,0.8448078,1.0,GSE135893
RP11-84A14.5,0.00081241166,0.343202,0.6587961041430886,GSE135893
LZIC,0.0076402426,0.8399785,1.0,GSE135893
NMNAT1,-0.008677876,0.6419728,1.0,GSE135893
RBP7,-0.003460932,0.18406747,0.4962988378854335,GSE135893
UBE4B,-0.031546276,0.108493485,0.35435628288849685,GSE135893
KIF1B,0.021020845,0.57843053,0.9739591957336006,GSE135893
PGD,-0.17465942,4.8283193e-05,0.0009333642575839666,GSE135893
RP4-736L20.3,-4.5263238e-05,0.17818375,0.4862101756984801,GSE135893
APITD1-CORT,-0.00022154243,0.90728176,1.0,GSE135893
APITD1,-0.018255033,0.0020647405,0.018502491227960452,GSE135893
CORT,-8.2566665e-05,0.32818305,0.6361638969490901,GSE135893
DFFA,-0.052159183,0.021515278,0.11232348649523319,GSE135893
RP5-1113E3.3,-2.4722587e-05,0.328183,0.6361638969490901,GSE135893
PEX14,-0.01009864,0.28342828,0.6361638969490901,GSE135893
CASZ1,0.0024596453,0.9247806,1.0,GSE135893
RP4-734G22.3,-0.003229753,0.6972104,1.0,GSE135893
C1orf127,-0.0046965377,0.0030384464,0.02503727406206866,GSE135893
TARDBP,-0.09964531,0.00032343756,0.004206061445578102,GSE135893
RP4-635E18.9,-0.000113384594,0.11104343,0.3598528955318786,GSE135893
MASP2,-2.4722587e-05,0.328183,0.6361638969490901,GSE135893
RP4-635E18.8,-0.0018374603,0.5182588,0.8950390746078999,GSE135893
SRM,-0.12963444,1.4607564e-05,0.0003506750011719981,GSE135893
EXOSC10,0.009453662,0.5678331,0.9599884261752395,GSE135893
RP4-635E18.7,-0.0001987463,0.074536555,0.273755686487966,GSE135893
RP4-635E18.6,-0.00048291293,0.26037267,0.6204382385147006,GSE135893
MTOR,-0.0036495104,0.77556205,1.0,GSE135893
MTOR-AS1,0.00015068417,0.32818285,0.6361638969490901,GSE135893
ANGPTL7,0.010508318,0.036319282,0.16415048753011954,GSE135893
UBIAD1,-0.045435745,5.436092e-07,2.5725236006312033e-05,GSE135893
PTCHD2,0.0,,1.0,GSE135893
