,rwr_up,rwr_down,rwr_net
100463482,2.336751717703637e-07,1.5265734170532106e-07,8.101783006504264e-08
100463486,3.693517904830673e-07,6.184875761582596e-06,-5.815523971099529e-06
100463488,1.7932132096291407e-08,1.2901144068531e-07,-1.110793085890186e-07
100463489,6.1535798373734926e-09,1.190063143845197e-07,-1.1285273454714621e-07
100463498,3.51418577635297e-07,2.4022485703581322e-05,-2.3671067125946024e-05
100463500,1.1778552258917916e-08,1.0005126300790277e-08,1.7734259581276398e-09
10047,0.0,0.0,0.0
10048,1.5960967982589863e-06,8.131357568896811e-05,-7.971747889070912e-05
10049,2.8552918630902164e-06,3.515948641712467e-05,-3.230419455403446e-05
100499483,1.777390862529988e-05,1.0296810776191016e-07,1.7670940517537968e-05
1005,5.075016108113791e-06,4.431480646607362e-07,4.631868043453055e-06
10050,7.69206108487437e-09,2.74928552298941e-07,-2.672364912140666e-07
100505385,0.0005668885271496177,7.200842806689707e-06,0.0005596876843429279
100505591,1.26516519014127e-07,1.5206144116091147e-06,-1.3940978925949876e-06
100505993,0.0,0.0,0.0
100506013,1.2781912004909617e-07,1.5448364006131353e-06,-1.4170172805640392e-06
100506084,5.082493114612585e-06,6.522049205206672e-07,4.430288194091917e-06
100506658,0.0006625911600143882,1.7303823550546013e-05,0.0006452873364638422
100507003,3.543653738988896e-08,4.506562594605449e-07,-4.15219722070656e-07
100507027,1.8101682834854823e-07,5.39531222709561e-07,-3.585143943610128e-07
100507055,0.0,3.495463937676484e-08,-3.495463937676484e-08
100507203,4.4337387069139434e-07,3.312092206889993e-07,1.1216465000239504e-07
100507290,1.5235337297095432e-05,1.2346447514728e-07,1.5111872821948151e-05
100507436,0.00017955395524423394,1.1920343453197429e-07,0.00017943475180970197
100507679,1.3277052212268235e-07,1.2916570486452736e-06,-1.1588865265225912e-06
10051,2.336135934570749e-06,0.00019935805210526857,-0.00019702191617069782
10052,8.301148616656281e-06,1.0507394913746638e-06,7.250409125281617e-06
100526664,5.86799359526536e-07,2.5048551583834557e-05,-2.446175222430802e-05
100526693,2.1440815781007353e-06,1.2939574686888256e-05,-1.079549310878752e-05
100526737,6.776754604770829e-06,3.0860547645541944e-06,3.6906998402166345e-06
100526760,1.5117867518747148e-08,1.1733831369594582e-05,-1.1718713502075836e-05
100526761,7.813390964924424e-09,3.793748633492358e-08,-3.012409536999915e-08
100526767,4.950015972901931e-05,9.600543203249293e-06,3.989961652577002e-05
100526794,2.5516551936393113e-06,1.5977061218871565e-05,-1.3425406025232254e-05
100526835,1.7018812734834716e-05,1.3152761304700407e-07,1.688728512178771e-05
100526842,2.8916332402159293e-06,9.32583025653683e-05,-9.036666932515237e-05
100527949,6.40324244309464e-08,4.8583284344625026e-08,1.5449140086321372e-08
100527963,1.2749695382798975e-06,2.7255335778216567e-05,-2.598036623993667e-05
100528017,6.542803195192515e-07,5.664595489713199e-06,-5.0103151701939476e-06
100528021,1.2531054706699252e-07,6.190728623237918e-05,-6.178197568531219e-05
100529063,1.0423309601744274e-08,3.835376867165738e-07,-3.7311437711482954e-07
100529097,6.666542408849119e-06,6.839463635239062e-05,-6.172809394354149e-05
