drug,ipf_pearson,ipf_cmap,ra_pearson,ra_cmap,uc_pearson,uc_cmap
10-DEBC,-0.015311664980385022,0.06495689576821369,-0.06860661512362394,-0.24431702278018527,-0.03425205346792836,0.0
1271738-62-5,-0.045586991922541044,0.127940613234307,-0.0582737465656924,0.1820961122444769,-0.04904930445996056,0.0
"16,16-dimethylprostaglandin-e2",0.00477444678127147,-0.103045161266617,0.017647644684110956,0.0,0.05061368459931912,-0.10890299725160257
17-hydroxyprogesterone-caproate,0.01431428200776015,0.0,-0.029310844178634513,0.2406853663177357,0.010805492714652568,0.0
"2',5'-dideoxyadenosine",-0.04516308907115108,0.0,-0.009085190668669987,0.0,-0.02903998054122792,0.0
2-iminobiotin,-0.07898092410402704,0.17144032093727718,0.05680742541581936,0.15876298882900514,0.0036865090017836675,-0.0988442290887786
2-methoxyestradiol,-0.016451470505606698,0.0,0.02354120941657903,-0.3156334747348615,-0.030613886819657626,0.08192964391669004
"3,3'-diindolylmethane",-0.06053851589194778,0.09137711713503384,0.04236796079749969,0.0,0.024689852468350343,-0.09667096416242882
3-amino-benzamide,0.00456372313164624,0.0,-0.0013503216522238414,0.22276339503903936,-0.00783237740081971,0.0
3-deazaadenosine,-0.0464160766686164,0.0745666079935452,-0.02223193516594462,0.0,0.054590490711194185,-0.1145300584576956
"4,5,6,7-tetrabromobenzotriazole",-0.01720679402229069,0.07576704414039985,0.03599403140939349,0.3360597195555184,0.03530423894480515,-0.10506656469290013
5-aminolevulinic-acid,-0.05461960570281094,0.1380361451679278,0.03834767830979188,-0.16544705270032953,-0.02775176383720315,0.0
A-443654,-0.0158687911135976,0.06340466213656035,-0.03613649169602275,0.0,-0.02154606086137771,0.0
A-66,-0.021735272490874546,0.0,-0.015904217953557287,-0.20030488457241136,-0.0014434147754179632,0.0
A-769662,-0.05608858128708353,0.11869207045938612,0.009155026958731207,0.0,-0.014196827238385647,0.0
ABT-202,-0.05782157267901794,0.12533647619404928,-0.029416048510336877,0.0,-0.000396957431302969,0.0
ABT-239,-0.054029134669616896,0.109075563928722,0.005170263373875978,0.1903868925022404,-0.019026842087175064,0.08963299745321701
ABT-724,-0.010341903458645206,0.0,-0.034557781343582145,0.2754821957404735,0.02798057100808967,-0.10138621065421059
ABT-737,-0.11253603745135181,0.16116764062956007,0.004536583300938208,-0.28417430909510977,-0.1284092459333438,0.10468773853115658
ACY-1215,-0.02563440810109445,0.0,0.015158293482628796,0.0,0.013557137326630712,0.0
AEE-788,0.0872535144127832,-0.164325868059012,0.011999529768191816,-0.24158411246769027,0.0021414740449681694,0.08998095949902522
AGI-5198,-0.014722009356744092,0.0,0.0028701319288702808,-0.25939921666931,-0.008801866928547218,0.0
AGI-6780,-0.048315402440029534,0.10693664843372719,-0.05912861142101343,-0.24588383703556263,-0.07616303474101054,0.0
AGK-2,-0.005821939123953279,0.06788753550226748,-0.01503367169531995,-0.21316866434763682,-0.024458779613324367,0.0
AGP-103,-0.06520942327860166,0.10679732166703294,-0.0025471215976814016,-0.2759322569952748,-0.02323240206530011,0.0
AICA-ribonucleotide,-0.06489762067082729,0.1472495927832802,0.012471202923014723,0.0,0.025144502350158474,-0.08505873753147139
AKT-inhibitor-1-2,-0.026902968101273003,0.0,-0.027443490716963483,-0.21506680197504,-0.04849868434396635,0.0
ALW-II-38-3,-0.07971032788225603,0.1437833999308093,0.03177038112411814,0.0,0.007974545234414921,0.0
ALW-II-49-7,-0.07487049136769916,0.09262637741386931,-0.019055390876327686,0.0,-0.11662045951030554,0.12674190287944972
ALX-5407,-0.0762255732289614,0.11809737709143368,-0.03902299965050217,0.0,-0.018284714929218186,-0.08919642837451355
AM-24,-0.03550851481337813,0.10355680930395583,-0.015082384031336882,-0.27686566382834754,0.007118003088744348,0.0
AMD-11070,-0.0493154637640932,0.11287316013249118,-0.09555592974542924,0.0,-0.03071229362731794,0.0
AMG-208,-0.03380588140551406,0.09220297588366842,0.0005816612016308062,0.0,0.05179832076043987,-0.1047541085975384
AMG-232,-0.04547688482020372,0.0,0.0028636696058465015,0.0,-0.01334778160520354,0.0
AMG-487,-0.06711958317883181,0.11203714475792353,0.030339612875210857,-0.3132688911678243,-0.04774542248070826,-0.06282074261592739
